naibbe_max,naibbe_min,voyb_max,voyb_min
dain,daN,psheoky,pZeoky
lchedy,lSedy,odaiir,odaU
olkal,olkal,qoy,qy
lear,lear,ofseod,ofseod
qokeeedy,qkEedy,chypchey,SypSey
olseeedy,olsEedy,ypchedy,ypSedy
cheey,SEy,ain,aN
oleedaiin,olEdaM,chofochcphdy,SofoSWdy
chey,Sey,dchey,dSey
yteedar,ytEdar,aiin,aM
otar,otar,adeeody,adEody
kal,kal,ykecthhy,ykeQhy
chckhey,SXey,chedy,Sedy
shedy,Zedy,ytedy,ytedy
opcheeedy,opSEedy,dy,dy
solam,solam,checthedy,SeQedy
oteedy,otEdy,lr,lr
alsdy,alsdy,oaiin,oaM
yky,yky,shcthy,ZQy
ol,ol,eteeda,etEda
sain,saN,oloy,oloy
shedy,Zedy,ykeedy,ykEdy
oteedy,otEdy,olchedy,olSedy
shey,Zey,gal,gal
qoks,qks,y,y
lkchsy,lkSsy,sheey,ZEy
ol,ol,saiin,saM
ke,ke,s,s
oldaiin,oldaM,qokedy,qkedy
poiin,poM,cheos,Seos
olchar,olSar,ytedy,ytedy
oles,oles,qokedy,qkedy
qokey,qkey,ytedy,ytedy
shor,Zor,chekedy,Sekedy
qoteey,qtEy,daiin,daM
tsheeol,tZEol,odam,odam
olkeedy,olkEdy,s,s
chdy,Sdy,aldy,aldy
lcheedam,lSEdam,haiin,haM
chedy,Sedy,shedy,Zedy
qokal,qkal,eedy,Edy
chdy,Sdy,eedy,Edy
chor,Sor,schy,sSy
saldam,saldam,daiin,daM
kedaiin,kedaM,cthedy,Qedy
qoked,qked,qokeedy,qkEdy
dykm,dykm,qokedy,qkedy
chol,Sol,cthhy,Qhy
ar,ar,rchedy,rSedy
qopair,qpaT,qokedy,qkedy
chcthody,SQody,pcho,pSo
qol,ql,qokedy,qkedy
tdam,tdam,dar,dar
ychy,ySy,sheo,Zeo
ol,ol,ypchseds,ypSseds
yteaiin,yteaM,s,s
koiiin,ko3,aiin,aM
opaiin,opaM,shapchedyfeey,ZapSedyfEy
daiin,daM,dalchedy,dalSedy
otaiin,otaM,sas,sas
am,am,daiin,daM
cheol,Seol,shedy,Zedy
cheedy,SEdy,qokeedy,qkEdy
otedy,otedy,qoteedar,qtEdar
toiiin,to3,s,s
okain,okaN,ok,ok
lses,lses,ol,ol
chedy,Sedy,otedy,otedy
taly,taly,qokchdy,qkSdy
qoeeey,qEey,qokedy,qkedy
aiin,aM,tcheo,tSeo
qokeey,qkEy,shy,Zy
aleeos,alEos,geedy,gEdy
olkain,olkaN,okedy,okedy
otchaiin,otSaM,chckhy,SXy
okedal,okedal,s,s
odeol,odeol,dy,dy
qokeey,qkEy,dy,dy
lshes,lZes,ykeechy,ykESy
