78_01,78_02,52_10,52_09,52_08,52_07,52_06,52_05,52_04,52_03,52_02,52_01,78_10,78_09,78_08,78_07,78_06,78_05,78_04,78_03
OPSAN,DAM,DAJ,OPSEDY,DAL,OLYAN,DAN,OPSEDY,DAN,KSOL,DAJ,KSEDY,OPSEY,OKSAN,ANREY,ANREDY,KSEDY,DAM,OLYEDY,DAM
CSDOR,AR,SUDAM,TSODY,SKSY,HOKSUDAR,OKDALY,CAM,LZEDAIR,YKSODY,SEDY,HOTAL,TSDAN,OLKAL,TSODY,HOKAL,YPSDOR,HOEDAIR,HOKAL,HOEDAIR
SUAM,HOTAL,HOTAR,SEDY,TSDAN,OLEDC,CAN,CEAR,ZTSEDY,DAR,CSEDAN,ZTSEDY,DAR,CAN,OLUAM,HEY,SUAM,LOL,HOTAR,OKAR
OLCOR,HOKAR,OKUAM,COUAM,SEDY,OJUEDY,HOKUEDY,OKUEDY,HOTUEDY,HOKUEDY,HOALCY,HOKUEDY,ZUEY,HOUAM,ZUEY,LFSEDA,HOKUEDY,OLCUAM,OKADY,SUAM
SUY,SN,OKUEDY,AM,OJALCY,OTZEDY,OLCEDAJ,DANROR,OLKUEDY,OTUEDY,OTUEDY,DANROR,OLCOR,OKUEDY,AM,LTUEODY,AM,AL,HOKUEDY,OJEOC
AR,OKUEDY,RUEODY,DALEDY,AM,OKSR,OEAR,DALEY,RUODY,AL,AM,DAREDY,OEDY,LKSDOL,SUY,SUDAM,SUY,SUY,AIR,SUY
OKSANR,RUODY,DAR,TSR,SUY,ZODY,HOKAL,HOKAL,SEDY,DALOL,OEDY,YPSUEY,HOKAL,LSEDY,SKSY,LSALY,OKEC,OLUCY,SUY,DAR
ZDOR,DZEDOL,OKAL,YTODY,DAR,HOKAR,LSDAL,HOFSAM,YPSR,OKAL,TSANR,OLSODY,ZKSY,HOKSUEY,HOKAL,CEDAN,SEY,SEY,OLEC,YPSANN
OTAR,YEOL,HOFSAM,LEODY,YPSUEY,KAL,OKAR,LUDAR,OL,YAM,OLSDAN,OTAR,ZEDAN,YTUAL,OKEDY,ZEDY,OR,ZODY,LSEY,YTDAN
ZEY,OKAR,LDOR,DAM,ZEDAN,DALEODY,HO,RAM,ANNODY,HOKAR,OTAR,ZEY,CDY,HOKAR,HOL,OLYOLY,CEDAN,OKAR,YTDOR,HOKAR
DAIR,ANNJ,HOTAL,HOLJ,OTAR,ANRAIJ,DAM,OPSUODY,CALAL,HOKAR,HOKEDY,DAM,DAM,ZEY,LODY,HOKEDY,HOKEDY,OLZAL,ANNDY,ZEDY
DALJ,DAN,ODY,DAM,HOTUEC,OKUY,SUDY,ZEDY,SUY,KAL,DY,OEOR,DALO,DAN,CALAL,DAL,DAM,OEOR,OLYDOL,DAM
OCDAIR,CAIREODY,OPSOR,AM,SUDY,HOTAM,YKEOD,OPSEOC,YKEOD,LKAN,OTZEODY,DAL,DY,DALDY,OOD,AL,DALJ,OLYUEDY,HOTAL,SUY
HOKUY,OPSOR,HOKUY,OLKUY,HOKEDY,HOPSALY,LKSUD,OTUY,AL,ZEDY,DY,RUD,AL,OCOR,OKSOR,COLUC,DAN,HOKUY,Y,OTEDY
HOKDAJ,HOTUY,CORUOR,HOKAM,OPSEDAJ,DYKEOR,HOKAM,ZUY,LKY,DAM,LKSAR,HOKDAM,KZOJ,ZOL,HOTUY,HOPSEOL,Y,HOKDAJ,ORARY,DY
OL,HOKAM,OL,YZED,ORUC,ODALY,HOKUDY,OTSAM,HOPSAM,Y,PSDAJ,ALUEO,TEOL,OLKAM,HOKAM,OKEY,OKUY,OR,TSDAL,AM
CARO,HOKUDY,OLKEY,DALYEODY,TEOL,HDY,ZEDOR,OTEY,HOTEY,LKY,SKSUEO,OLZAJ,CAREODY,OLKUDY,YZAM,ZEDY,ZUY,HOKEY,HOTEY,HOKUY
OKAM,SEOL,RAM,ARALY,DALYO,HOPDY,YKAJ,ZEDY,CALY,OTUDY,ZEDY,ZUDAR,OTAM,OL,DYKO,ARAM,OTSED,YKARY,ZEDY,CORUDY
HOL,DALYJ,HOKAM,OLKAR,CORAM,HOKAM,OL,ARAM,OR,HOL,ODAM,HOTEDY,SOL,HOKSO,OKAM,OKAR,DADY,ZUDAR,HOKAM,SOL
CEODY,ODEOL,OL,YKUDY,CAN,HOTUDY,LEODY,OTAR,DDY,HOKSJ,HDY,HOKUDY,HOKAR,PSAM,OL,YKUDY,PSAM,RAM,OKAR,DYKDY
HOTUDY,OLKAR,OKAR,OTEDY,KC,LKSCD,TDY,OLZUDY,TEODY,HOKAIR,HOKUDY,HOKEDY,ZEY,ZTSOD,ANNJ,ZEDY,HOKAR,HOPDY,CALDAJ,ZUY
YSY,HOTUOR,ZEDY,HOKAM,HOKEDY,SDY,OKAM,KOJ,OTAM,LDY,HOTEDY,HOTAM,TSO,ZEOL,TSDY,PSDAM,YKUDY,HOKAM,YKAJ,OR
HOKUDY,HOKEDY,HOKUDY,OTSOR,PSUDY,KEDAR,HOKUDY,OTSOR,OTUDY,HOTUDY,OKAM,HOPSEOC,OLKAM,YKUC,HOKUAR,REDOR,RAM,ZEOL,TUEDY,OTAR
AM,HOKUAR,OLZY,HOKEY,AL,AR,LKSCDY,DALYAIR,AN,ZEDY,HOKUDY,OKEY,TSEDAJ,HOKUDY,AL,LCDY,HOKAM,REDOR,HOKEY,ZEY
HOKEY,RCD,OLKUDY,OL,HOKEY,OTSUOL,OL,ZEY,HOKSAM,OTAM,AL,OL,ZOR,AN,ZOR,SPSEDY,HOKUDY,ZEOR,OL,OTUDY
YTJ,HOL,AN,KAC,ZEODY,DAJ,OTEDY,DSAN,ZEDY,OLKUDY,ZOR,YKEDAR,ZEOR,CARAM,SKSO,OTSUDAN,AL,HOKY,RAM,KY
HOKY,ZEY,OKEY,OLUDY,OFSOL,OR,HOKZAN,OLKUDY,HOKY,Y,SKSOD,LSEDY,HOKY,KAC,HOKY,DY,CARAM,DAR,DSAN,YZOR
SDAM,SPSEY,OL,OPEOD,OTSUDAN,COLEAR,OTUDY,OTAN,SDAM,DYKDAL,HOKY,HOPEO,DAR,SC,LZUAR,LCEDAL,KEDAR,TU,ZEOL,HOKSAM
OTAN,ZEOL,KAC,ZAR,OPSAM,CSCDY,OTD,DAM,ZUDY,ZEDY,DAR,DAM,OTSUY,OLKAL,ZUDY,OKUDAM,SC,DAN,FSAL,ZEDY
OCAM,OLKAL,AR,OKEDOL,HOKUY,OR,SDY,OL,OKSEOL,ZEODY,TEO,SDY,OLYAM,SDY,KSAM,HOKEY,OLKAN,LCUO,SOL,DSDAR
YTSEDY,SDY,YZUDAN,CARAIR,SEDY,AL,LKEAR,COLOL,HOKUY,AR,DAM,LKEAR,OTUY,ZOL,LKOL,OR,DAM,LZEC,ORAN,OTSEAL
HOTAL,OKUY,DAM,ODYAI,TSAIIC,HOKUY,CSCD,TSCD,SEDOL,TSUY,OLSAR,HOKSCD,HOEC,OLUDAM,OLKAL,COLKAR,OL,DYKALY,CSCD,OPSALY
HOKEY,AR,ZAR,OKEDY,SEOL,SEY,ZEOC,HOL,HOKEY,OPSALY,SEC,YTOR,ZOR,COMAIR,OTEY,LSEAL,ZOL,LTEDAL,SDY,OTUY
OL,TSEDOR,DAR,PDAJ,ODYAR,OTAN,KZECY,ODYUO,OL,OLKUY,HOTEY,OTUY,LCOR,LTAR,OL,YZAM,OLEDOL,LSUY,RAR,SEDOL
