,Char_Entropy_Rowwise,Conditional_Char_Entropy_Rowwise
78_01,3.923929519463767,2.3299941155074704
78_02,3.9210265315557673,2.3248619248824007
52_10,3.9220305288555473,2.3241286563974426
52_09,3.9241677414440543,2.321330470195754
52_08,3.9208159516832275,2.3163704695172447
52_07,3.916026194260256,2.3151618461932264
52_06,3.9207016702614075,2.315886650821777
52_05,3.9190424946557734,2.319997964274103
52_04,3.918054696982196,2.3218911475788935
52_03,3.922981767630737,2.3115933274715497
52_02,3.918582094110877,2.3171434567437337
52_01,3.921303694734864,2.311043324786857
78_10,3.9222557043639585,2.3278563124023397
78_09,3.9189359138117736,2.328657085636477
78_08,3.9234557418408196,2.339117886802008
78_07,3.9212007460555007,2.322366920025501
78_06,3.920032484199615,2.331258773319866
78_05,3.9208077625401296,2.335801266901239
78_04,3.9207015345474754,2.330507670056619
78_03,3.919657155370285,2.324231088784248
