text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Naibbe - 52_01,5.2662,1.629759837,0.092350241,5.426212416,1.646405244,0.134952416,-0.037934139,1.027903181,0.564171138,3.1143347,1.013298096,0.567375275,3.059977652,6.77,1.1652,1.876105437,0.534196986,-1.064003899,1.87319304,0.536800013,-1.069773671,0.130195965,0.053240683,137.18,8.035497417,0.419639788,0.166707626,4.92114903,1.20278319,0.347946315,0.87108954,152.51,0.0015,0,18.08,0.066927159,0.006469563,284.04,1.507580534,0.402917428,9.33595972,0.0142
Naibbe - 52_02,5.253147087,1.628967578,0.054001807,5.396983222,1.644097068,0.124535166,-0.026064711,1.033555772,0.566606733,3.104558284,1.008399037,0.552358579,2.869467613,6.84,1.2056,1.87473384,0.542028858,-1.074528809,1.872667525,0.543705445,-1.069543445,0.127725227,0.053284382,134.34,7.97627921,0.412702187,0.171490423,5.115204954,1.202812121,0.354008875,0.88533522,152.79,0.001947087,0,18.19,0.067079704,0.006783243,285.15,1.508283825,0.404023877,8.260341931,0.01463835
Naibbe - 52_03,5.271,1.636306676,0.078603284,5.413677047,1.662454817,0.110850036,-0.037927359,1.038392322,0.577899301,3.143679423,1.004741375,0.55725319,2.967237279,6.62,1.1112,1.885789431,0.528342317,-1.078776952,1.877316729,0.534854656,-1.074509028,0.128762466,0.052783361,135.76,8.00617515,0.412055053,0.172393626,4.734040288,1.202942456,0.341497032,0.924762971,153.86,0.0019,0,18.21,0.067117361,0.006413974,285.21,1.511019536,0.404484119,8.482229409,0.0124
Naibbe - 52_04,5.240001923,1.614006648,0.040853733,5.374832448,1.622581634,0.099547118,-0.03522263,1.029410531,0.565767426,3.142998731,1.013438604,0.559723306,2.968104453,6.48,1.1308,1.883308274,0.52492024,-1.03735663,1.879037763,0.537477181,-1.099309739,0.129313176,0.053443653,135.64,7.917480431,0.415077505,0.175947746,4.823181126,1.205372817,0.354629009,0.851076853,153.43,0.00155,0,18.05,0.065771566,0.005731056,286.03,1.515047144,0.40444422,10.51231188,0.011642308
Naibbe - 52_05,5.2651,1.625414899,0.018211111,5.40461922,1.647804311,0.070113785,-0.030525688,1.033106058,0.573561777,3.124313973,1.004667948,0.548973424,2.868749857,6.56,1.1364,1.873284103,0.53662033,-1.054657223,1.88549531,0.528673503,-1.105298832,0.132484882,0.052944356,139.57,8.059617269,0.414814471,0.17283175,4.947283218,1.207654091,0.351467025,0.878127444,153.29,0.0011,0,18.17,0.067759723,0.006288435,283.09,1.509188005,0.403173448,8.031836263,0.0119
Naibbe - 52_06,5.254133254,1.62059327,0.018997172,5.406280638,1.623270649,0.077421006,-0.041523873,1.030289404,0.561542657,3.017614164,1.011197651,0.553032822,2.884319244,6.72,1.1964,1.887175764,0.526250141,-1.072953034,1.875613969,0.544728542,-1.09572709,0.128021789,0.052481641,134.61,7.981814553,0.420877215,0.179590624,5.20366337,1.199944231,0.354108961,0.901404966,153.69,0.00095,0,18.46,0.065704522,0.006267898,284.82,1.510895814,0.405003469,10.09885813,0.011095694
Naibbe - 52_07,5.25785,1.607156521,0.045286576,5.40164582,1.623528581,0.096357493,-0.019181532,1.02588622,0.551861829,2.991252981,1.008581667,0.533869706,2.706052855,6.54,1.2104,1.886954018,0.531139295,-1.103605448,1.883130388,0.532655432,-1.096035522,0.129012992,0.053171889,135.67,8.004303442,0.414327223,0.175104371,4.873527048,1.206905619,0.35122631,0.819605617,153.6,0.0017,0,18.19,0.066307583,0.005763061,284.19,1.513105018,0.404871066,9.94154549,0.0118
Naibbe - 52_08,5.270578846,1.634063804,0.103146638,5.419885213,1.660866094,0.129521432,-0.036546746,1.034045009,0.557940073,2.922382884,1.002359026,0.536499479,2.832976616,6.37,1.0436,1.876537102,0.533883409,-1.045462635,1.885312947,0.525337563,-1.064411196,0.128227187,0.052720604,135.23,8.050877829,0.424732338,0.172052517,4.747764808,1.20315341,0.350111407,0.872487375,153.27,0.0021,0,18.18,0.066111167,0.005765128,283.83,1.509422697,0.40373499,9.474698428,0.015746154
Naibbe - 52_09,5.257709756,1.629881835,0.058465883,5.412474836,1.644374821,0.096020481,-0.025372585,1.034362013,0.571355985,3.134346394,1.004128087,0.548366115,2.87162553,6.32,1.0368,1.881115593,0.533390895,-1.076715166,1.875455381,0.535022264,-1.052944611,0.12845554,0.053007857,135.12,7.973797899,0.417277878,0.16920261,4.677163953,1.204255087,0.352751336,0.861975358,153.18,0.0022,0,18.13,0.066628106,0.005747721,285.37,1.512301665,0.405160085,11.08208061,0.010847561
Naibbe - 52_10,5.262079268,1.626441903,0.083166886,5.421767148,1.642825346,0.121530351,-0.033542273,1.030453704,0.567703348,3.187177522,1.008969711,0.550732277,2.874582108,6.67,1.0472,1.881424276,0.534264701,-1.081016811,1.880599165,0.537314518,-1.097319548,0.129138348,0.052999595,136.07,8.013515215,0.412492338,0.172245185,4.851446364,1.20539847,0.346296117,0.857988516,154.12,0.0013,0,18.13,0.066811645,0.00594859,284.58,1.518359822,0.405192173,9.450014151,0.012697561
