text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Gibberish - DA_01,5.741690559072995,1.762790020048354,0.21496574770264212,5.832760116701069,1.746007399252493,0.06773128598616147,0.027052780281006685,1.060274812824667,0.5049009582345463,2.424100947296536,1.0497916333211692,0.43455441931551436,2.3319249682162075,9.9,1.6656,1.8446111603228097,0.5716235576175726,-1.0653432629386435,1.583696120773548,0.6206315969482843,-0.5480057912904054,0.12908014619557864,0.043751870799496696,146.61,5.234517104651564,0.5895753221102383,0.22929717070765798,3.862461176525907,0.9632589473717119,0.2788265489614286,1.2940416453273789,117.64,0.0069984093029291945,0.0,22.31,0.0428753644972088,0.0,458.31,1.4449260957866181,0.3700017256900589,5.539008530610355,0.041190428144372716
Gibberish - DA_02,5.462728143727868,2.6073601729584026,0.012330316918523309,6.615424303455887,2.17204581408176,0.21231844776972106,-0.012139577550806392,1.1544984061746497,0.882326170622309,5.263536985723776,1.4848000901269618,1.673359992036109,2.7871165734576606,26.41,2.8464,1.5810123042981996,0.6802941846454178,-0.3283885184015938,1.3406780756535799,0.8032014782082052,-0.1638785317716617,0.1258169056660166,0.0420758536660332,137.75,4.809038566472405,0.5102848625915517,0.2587768782510196,3.4932215665227884,0.7730145865579771,0.19138377742155185,2.7669764432436663,104.86,0.0,0.0,23.14,0.006168688503390654,0.0,472.56,1.5921093801108026,0.40153763660926206,3.742595742823825,0.030500693248155977
Gibberish - DC_01,4.831704788617723,1.5156025657604366,0.009222500263836335,4.971891587258135,1.4976653498352261,-0.10369249826722006,0.05149799580273099,1.0849221795840904,0.4882413742315211,1.942657849739781,1.0092804802364699,0.4474596651255292,1.904359879047525,6.64,0.9591999999999999,2.0750065835782903,0.3627196462514222,-2.0079323088671157,2.026044695033756,0.39130867055365975,-1.8412223409286501,0.12314254857966715,0.040108735621273144,120.26,3.8740049225673574,0.4963262396467295,0.20914773941712886,2.5225320606170727,1.0075882131221434,0.3153643281330747,1.8817627010075193,173.09,0.0,0.0,23.56,0.020202303587556696,0.0,478.32,1.7577886749541574,0.4950581563710074,21.16879219781406,0.004429799051862389
Gibberish - DC_03,4.201176183742768,2.737199677828985,1.270341586978898,5.466023955720638,2.8871282900545756,0.9368790027761602,-0.11014605759711603,1.427828315120069,1.0946177212166774,3.3004951109692846,1.1388009710328357,0.9271846223042786,2.8203841802300142,21.87,3.4024,1.5099265181309043,0.6407881016075301,0.021672940728810132,1.3360468694676475,0.6985835105307538,0.08712731018379465,0.11983245452647118,0.04071349607178916,98.91,4.026123736403981,0.5597191746522426,0.25746514962131806,2.7555573447330457,0.8559699845082558,0.2682236292512822,2.1601924095149014,90.36,0.0038073544037850716,0.0,23.25,0.0361381082785805,0.0,384.49,1.3449205429992608,0.4176969174703302,1.9401881941713313,0.09403385013893707
Gibberish - DC_04,4.694236369671637,2.4106100123094385,1.4574916513421339,5.14576146647508,2.436866691076602,1.441722923278761,-0.12462094858661447,1.253313811222562,0.7993156795869786,3.5536129554872824,1.0741550195148932,0.5813862263030896,1.852806217145541,16.54,1.5148,1.9208496074680295,0.5754579087449869,-1.5943515719415897,1.7806739221211993,0.5808186373181947,-0.9370349656427513,0.12717670610399576,0.03967175866863233,119.02,3.7957928421441993,0.5468509340868893,0.2561414160830687,3.032170602928347,0.8466800335988526,0.323138308930748,1.9932305397362908,142.87,0.0,0.0,23.99,0.046717935614560537,0.0,465.78,1.6593564628261916,0.45919665012665606,8.430290185965022,0.005576775758033687
Gibberish - DC_05,5.715447031380033,2.836420484983984,0.9011453214683678,6.094601223101675,2.8017413194255925,0.7679300198830702,0.1604532681425321,1.3000766658209364,0.8065455183639065,2.794517267394355,0.9642208338285437,0.5570733248600177,3.1416710886928088,6.27,1.0231999999999999,2.0170632997376488,0.4278350376605466,-1.7425734459472721,1.6252938684809062,0.5427641641373644,-0.3911118879726163,0.10491428240509823,0.03886365447024335,118.61,3.794408709733657,0.580924416397786,0.26139633700958553,3.017234391339435,0.6811465507707312,0.24618244638599474,2.3703583062043876,126.53,0.015587544099580436,0.0,25.05,0.016035366872348997,0.0,596.7,1.5620027300449286,0.41086867285923384,9.303124496336888,0.015587544099580436
Gibberish - DC_06,6.048172460562631,4.362460453218408,1.079394688376128,7.6117765193287354,4.32886003179381,0.8836581036247442,0.1512878269255792,1.6195455746104312,1.631396027480127,3.8844790602250256,1.1125188813034481,1.450983214414753,4.401878444627414,14.61,2.422,1.724728912097093,0.6303804751666886,-0.646801710864515,1.5782967570641742,0.6954250931364993,-0.5351952093413522,0.14347875866398918,0.04008778643737033,173.53,4.086650955854081,0.4781494979625906,0.263239844259142,2.905282988457838,0.6951972850902923,0.30599513587292904,2.2600841496460107,121.8,0.0033598225547841706,0.0,24.27,0.04538941434383553,0.0,606.51,1.7416588299571873,0.4521054317919372,2.859647024176071,0.09345114493414602
Gibberish - DC_08,3.9564632438520158,1.6980913030875107,0.776206003039011,4.62622376699626,1.7794769079227157,0.8154070827422583,-0.09533568904261114,1.260397777138446,0.8857849292230816,3.9639076736204415,1.103476648879443,0.8430045784231711,3.245847776149315,12.44,1.5504,1.5327252083506877,0.5726574034815974,-0.03178544435015969,1.1652531215232307,0.5982846405755757,0.4820298720099965,0.11573117756513786,0.04312735880463332,90.76,5.092652659253443,0.5989077935570101,0.297033559468271,3.2828948133701075,0.8897642711269858,0.3135053191647075,2.293981461148251,81.54,0.005673290693036825,0.0,22.38,0.020760525813192585,0.0,292.68,1.4386416336380512,0.40740723558999586,9.053985803954625,0.05603712223539559
Gibberish - DC_09,4.64710170133542,1.4064040719234507,0.8474115427577479,4.879701887790716,1.4213737261873682,0.7731618761083824,0.038408965545933475,1.0651120132827188,0.3965038238539682,1.5410420737352144,1.0141964724290802,0.3583764752090485,2.1696152262125197,4.6,0.7656000000000001,2.011680139250827,0.40222106842462596,-1.4184381536643669,1.6317758995729963,0.555954948601921,-0.3735021670855395,0.12426605192265841,0.04045214345334008,115.43,3.428296873694996,0.6162994811019465,0.29977458391203615,2.7374185180058164,0.8564966968241363,0.27159494693308417,1.8211886673898507,131.89,0.007415565387093864,4.926108374384237e-05,24.05,0.04454744319540564,0.00016242639266513103,503,1.6511258731769853,0.44202181166406945,22.156824664912268,0.007415565387093864
Gibberish - DC_10,5.019281137670434,2.2289909499343543,1.3372594064914312,5.470229890780693,2.2930665577148153,1.297453163096558,-0.08277782000405226,1.1688552654172506,0.6943233601445715,3.7023147396722598,1.0820178601728279,0.5965751587322632,2.517049714933853,8.51,1.4936,1.9290922074283832,0.5041546608407816,-1.2203138924017833,1.508018880431274,0.5690661429917984,-0.23705444279886184,0.11430899777360932,0.0401538211705125,114.71,4.362475146662165,0.5950322702855141,0.2637663947408745,3.495677206148971,0.857182409940439,0.2565978097109314,1.828885564169631,117.27,0.00024704433497536947,0.0,24,0.0016410246910522183,0.0,457.77,1.5456082951518357,0.3985785301485376,7.002197851679232,0.0006940934516517429
