text,specialist,group
Gibberish - DC_01,1,2018 class
Gibberish - DC_02,1,2018 class
Gibberish - DC_03,1,2018 class
Gibberish - DC_04,1,2018 class
Gibberish - DC_05,1,2018 class
Gibberish - DC_06,1,2018 class
Gibberish - DC_07,0,2018 class
Gibberish - DC_08,0,2018 class
Gibberish - DC_09,0,2018 class
Gibberish - DC_10,0,2018 class
Gibberish - DC_11,0,2018 class
Gibberish - DC_12,NA,2018 class
Gibberish - DC_13,1,2018 class
Gibberish - DC_14,0,2018 class
Gibberish - DC_15,1,Experimenter
Gibberish - DC_16,1,2018 class
Gibberish - DC_17,0,2018 class
Gibberish - DC_18,0,2018 class
Gibberish - DC_19,1,2018 class
Gibberish - DC_20,0,2018 class
Gibberish - DC_21,1,Experimenter
Gibberish - DA_01,0,Agnostic
Gibberish - DA_02,NA,Agnostic
Gibberish - DA_03,0,Agnostic
Gibberish - DC_22,0,2019 class
Gibberish - DC_23,1,2019 class
Gibberish - DC_24,0,2019 class
Gibberish - DC_25,0,2019 class
Gibberish - DC_26,0,2019 class
Gibberish - DC_27,0,2019 class
Gibberish - DC_28,0,2019 class
Gibberish - DC_29,1,2019 class
Gibberish - DC_30,1,2019 class
Gibberish - DC_31,0,2019 class
Gibberish - DC_32,1,2019 class
Gibberish - DC_33,0,2019 class
Gibberish - DC_34,0,2019 class
Gibberish - DC_35,0,2019 class
Gibberish - DC_36,0,2019 class
Gibberish - DC_37,0,2019 class
Gibberish - DC_38,0,2019 class
Gibberish - DC_39,NA,2019 class
Gibberish - DC_40,1,2019 class
Gibberish - DC_41,NA,2019 class
Gibberish - DC_42,1,Experimenter
