text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Conlangs - Esperanto - Literary - NT,4.482274643,2.503736125,1.088612075,5.556581339,2.567004424,0.681816789,-0.14509446,1.324120711,0.828174153,2.104106995,1.059182488,0.648885758,2.067466824,17.22,2.5284,1.561012799,0.679674598,-0.285283275,1.549640091,0.704807748,-0.335176838,0.128035256,0.041392109,111.08,3.523058629,0.510062015,0.234223213,3.01394555,0.806190819,0.270575387,1.539267053,108.62,0.000146114,0,22.82,0.001406513,0,449.23,1.539940714,0.463229151,3.658927461,0.034462048
Conlangs - Esperanto - Technical - Voynich Wiki,5.132288506,2.895921862,0.754069509,6.0822489,2.759756637,0.53592288,-0.153621885,1.34544114,0.960190099,2.925063479,1.131549294,0.812701805,2.146571899,20.52,2.1024,1.653784705,0.686205277,-0.615246433,1.651624305,0.702617125,-0.616847591,0.120898013,0.041034223,120.73,3.277471731,0.46700736,0.213593242,3.244388847,0.727716192,0.233091916,1.34240205,124.49,0.001968522,0.000292924,23.19,0.004624223,0,565.88,1.635725636,0.477595313,4.910808891,0.017551437
Conlangs - Interlingua - Literary - NT,4.256429079,2.475932622,0.772817108,5.285041004,2.456030567,0.459257582,-0.239886462,1.387168315,1.055739382,3.15432844,1.221056459,1.10604043,2.663730944,18.35,2.5032,1.453453955,0.699697021,-0.112033054,1.509837784,0.68541654,-0.200069391,0.177727764,0.043239531,153.91,3.740926578,0.483911596,0.245004216,3.241445173,0.772657378,0.309196451,1.540483712,106.42,0.001172333,0,22.12,0.024868062,0,424.65,1.56923975,0.447800382,4.421089219,0.045247068
Conlangs - Interlingua - Technical - EU Wiki,5.221722961,3.315778208,0.696197882,6.668143792,3.206124179,0.278431829,-0.24292332,1.513606493,1.380711288,3.36742641,1.207258877,1.126421492,2.61366817,20.81,2.7532,1.495182368,0.720778634,-0.197959478,1.505008886,0.722420922,-0.235116837,0.159550505,0.04237369,161.66,3.909665481,0.459188582,0.249594781,3.883844381,0.635044172,0.297496918,1.22756429,105.93,0.000688256,0,22.9,0.016444371,3.11E-05,504.45,1.622265088,0.445416291,2.509147042,0.040966233
Conlangs - Klingon - Literary - NT - Mark,5.410174721,2.608156913,0.725138571,5.895315061,2.664718343,0.579030268,-0.043054801,1.301996801,0.91674333,3.670682633,1.026948105,0.711836053,3.238688203,9.17,1.398,1.868313514,0.531848188,-0.997097812,1.85778422,0.552773817,-1.04402683,0.144707433,0.036718101,135.09,3.522859262,0.524790907,0.195378318,1.384569914,0.70079437,0.201504562,0.5518932,123.54,0.001137266,0,22.17,0.00385901,0,506.51,1.487377519,0.46318113,5.271395438,0.028821133
Conlangs - Klingon - Technical - Proxima Centauri B Wikia,4.817997764,2.660086943,1.320317104,5.273833705,2.793116367,1.139028495,0.003278188,1.387351166,1.067995874,4.051432931,1.023243632,0.831610539,3.805777382,8.52,1.1996,1.761892641,0.582475085,-0.757781457,1.800397777,0.538752414,-0.760935867,0.122705984,0.039625112,112.68,3.549389914,0.4951139,0.211570262,3.758274275,0.749324728,0.241782177,1.209788965,128.66,0.001623327,0,23.72,0.004702543,0,486.73,1.471914558,0.46359782,9.03473599,0.023948367
Conlangs - Lojban - Literary - Alice in Wonderland,3.239631264,1.726488993,1.362438346,3.857224301,1.812166483,0.92368934,-0.194397278,1.283234565,0.78879245,2.448549563,1.074367638,0.753393422,2.743289576,20.88,2.846,1.455668878,0.704264639,-0.140268938,1.374570851,0.734815994,0.008848956,0.135705188,0.039887238,86.99,2.939947663,0.560327885,0.287503414,2.420494789,1.041563428,0.272210045,1.311396404,96.6,0.00160903,0.0001,22.89,0.006661918,0,343.8,1.498767383,0.455616856,3.890871813,0.032956782
Conlangs - Lojban - Technical - Science News,3.622823991,2.286177053,2.07479979,4.444133616,2.515997937,1.787788199,-0.154357583,1.362404289,0.970482108,3.272007794,1.072732154,0.823045992,3.638504047,25.06,2.4268,1.466020749,0.7238199,-0.240457214,1.493744661,0.684016959,-0.170776409,0.125371544,0.039849895,90.11,2.67947969,0.524681551,0.269300673,2.394703126,0.946584274,0.241474093,1.600758729,104.96,0.002105387,0,22.99,0.013526412,0,428.07,1.554229906,0.477881623,5.142818031,0.054404796
Conlangs - LOLCat - Literary - NT - Matthew,3.944314212,2.068182455,1.357987026,4.452467843,2.187346888,1.167320765,-0.109375658,1.345581897,0.934851947,3.518523298,1.039967776,0.71387984,3.033487519,12.4,1.8568,1.617447106,0.637647182,-0.343807537,1.664919524,0.622563454,-0.494469474,0.117445174,0.038336092,92.81,2.981557513,0.544078609,0.240678742,2.943848763,0.888780838,0.276872722,1.486402142,120.26,0.001025761,4.90E-05,24.62,0.03130859,0.000243497,449.98,1.458084329,0.485631248,6.744654337,0.022399388
Conlangs - Neo-Quenya - Literary - NT,4.550134859,2.513674396,0.599576387,5.404377527,2.365365794,0.489906034,-0.172074903,1.273608307,0.94153111,3.633556741,1.253739512,1.099068593,2.724447949,18.51,1.89,1.681867924,0.674865195,-0.7048885,1.718007961,0.666033848,-0.7924363,0.176830287,0.045130727,160.06,4.163534543,0.45141352,0.256706194,3.859677901,0.729811058,0.284289911,2.190760958,130.66,0.000641901,4.88E-05,21.52,0.023129058,0,415.83,1.80018398,0.462073749,5.789240948,0.032420239
