text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Conlangs - Esperanto - Literary - NT,4.45792738,2.457241106,1.10231781,5.46760889,2.528238787,0.724882314,-0.156967981,1.314529204,0.816055865,2.107041518,1.063898878,0.645064595,2.023515408,16.55,2.3848,1.555751048,0.669982812,-0.273608374,1.559202723,0.690726353,-0.335930051,0.126533846,0.041623677,109.32,3.594663508,0.50425265,0.231100387,3.016652302,0.814848349,0.280699463,1.476973551,108.39,0.000640245,0,22.66,0.001235381,0,441.23,1.532014166,0.459079252,4.442252701,0.031043932
Conlangs - Esperanto - Technical - Voynich Wiki,5.123918513,2.881060329,0.767930964,6.058254805,2.735347126,0.56119153,-0.156824048,1.324533755,0.921363227,2.937535238,1.143846624,0.80816163,2.066378601,20.6,2.1752,1.64608826,0.69306365,-0.578865306,1.637856455,0.707024888,-0.580566814,0.120451309,0.040984286,120.62,3.321676018,0.470390358,0.216030698,2.740671087,0.72559871,0.234488064,1.242101201,123.5,0.001624343,0.000245351,23.1,0.003514843,0,560.55,1.628476535,0.475718045,4.308103854,0.019591669
Conlangs - Interlingua - Literary - NT,4.319683736,2.493756651,0.757232433,5.300545032,2.470048367,0.471205579,-0.221932901,1.394552262,1.071066853,3.194357819,1.209082256,1.105854139,2.717295292,18.08,2.4624,1.461339241,0.683997282,-0.097398024,1.524344314,0.673418722,-0.207338723,0.17475548,0.04316718,153.4,3.844054291,0.484474575,0.245842221,3.185130091,0.767942081,0.307313774,1.5842368,105.94,0.004271213,0,22.03,0.025152433,0,423.15,1.565981182,0.445194137,4.2045926,0.050028744
Conlangs - Interlingua - Technical - EU Wiki,5.231666474,3.321828,0.687383761,6.682559797,3.201399478,0.280477869,-0.24609755,1.516077702,1.381125917,3.362898536,1.211321552,1.127089748,2.598467849,20.7,2.786,1.469876455,0.731433895,-0.177035033,1.493210092,0.72253886,-0.201421741,0.159210604,0.042460868,161.3,3.94309511,0.460695031,0.250626196,4.007757511,0.634818744,0.299256525,1.318812191,104.21,0.000641219,0,22.9,0.017956962,5.16E-05,501.03,1.59896839,0.440298857,2.429148574,0.041796952
Conlangs - Klingon - Literary - NT - Mark,5.447500784,2.645456448,0.720527621,5.907507443,2.683017727,0.586516448,-0.038050514,1.303074242,0.916186419,3.650157947,1.034510727,0.715743116,3.130824295,9.5,1.486,1.868345643,0.531098161,-0.985834278,1.853571834,0.562645405,-1.087018025,0.145053831,0.037266343,136.84,3.569270339,0.517717047,0.198520534,1.397719542,0.701307651,0.204759967,0.51753809,123.86,0.001482935,0,22.24,0.003943687,0,505.94,1.490245981,0.461771255,5.72134623,0.027276
Conlangs - Klingon - Technical - Proxima Centauri B Wikia,4.739118563,2.560560743,1.286188978,5.196005847,2.708519273,1.068609619,-0.004022211,1.38355715,1.068500135,3.964678373,1.016281727,0.814341595,3.834534199,9.72,1.28,1.715503399,0.60996248,-0.655521621,1.802903317,0.549628343,-0.799526618,0.125429012,0.039730379,112.89,3.611224838,0.483737801,0.21287663,3.261815907,0.763685762,0.239354083,0.925582684,126.76,0.001523394,0,23.67,0.005193028,0,468.3,1.44730935,0.462719885,7.557479478,0.025773667
Conlangs - Lojban - Literary - Alice in Wonderland,3.209598706,1.690868239,1.352273849,3.82195219,1.786788151,0.929093852,-0.203991705,1.284162313,0.78196642,2.411209182,1.063767757,0.723956402,2.712999728,21.55,2.788,1.452376148,0.705220865,-0.132590806,1.362601503,0.737730382,0.016354298,0.134058468,0.03996703,85.5,2.93232619,0.557318773,0.277633691,2.351146879,1.04225074,0.277503857,1.309149611,96.78,0.001572696,0.000197561,22.91,0.006584647,0,340.26,1.507212332,0.458426546,3.798841879,0.031323447
Conlangs - Lojban - Technical - Science News,3.552950824,2.166051592,1.938805497,4.364194016,2.37227752,1.662221154,-0.15363537,1.345818121,0.933049737,3.193342157,1.073831057,0.805675512,3.53825589,25.66,2.4692,1.453138699,0.724193225,-0.220218074,1.484772678,0.691659072,-0.186392725,0.12452327,0.039887657,87.8,2.686276834,0.518030895,0.270686054,2.441676141,0.96680873,0.244673359,1.616820498,104.12,0.001964504,0,22.99,0.012061519,0,415.72,1.559135042,0.477776047,5.300923806,0.05361759
Conlangs - LOLCat - Literary - NT - Matthew,3.950019056,2.097628919,1.368481491,4.460574493,2.215500914,1.163694357,-0.1122324,1.353042665,0.947178844,3.477270356,1.041277394,0.728507445,3.098110234,12.57,1.8204,1.61472046,0.632361713,-0.351331998,1.667534816,0.614604096,-0.495573116,0.117902643,0.037889256,93.17,2.996997251,0.542945003,0.243566871,2.663408205,0.878743743,0.267976177,1.410259861,119.16,0.001855433,0.000196336,24.63,0.031291247,0.000321326,448.76,1.456720953,0.484962677,7.112290262,0.023868081
Conlangs - Neo-Quenya - Literary - NT,4.554348356,2.504751332,0.628923084,5.367256967,2.359870856,0.544634841,-0.145715825,1.274154383,0.944447726,3.652402937,1.227214045,1.062056254,2.776499006,17.54,1.8248,1.687427823,0.65986293,-0.669406501,1.735946589,0.64635137,-0.801383678,0.179546411,0.045170718,162.62,4.281552013,0.446719986,0.257314573,3.627674712,0.739546601,0.285432994,2.15123552,130.23,0.000837091,5.00E-05,21.48,0.02302005,1.08E-05,407.1,1.791902477,0.458102607,7.358949778,0.035022164
