word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3,PC1,PC2,cluster
tchody,0.0,0.0,0.0,0.002850371,0.0,0.0,1.0724484018618852,5.734933267319073,1
chdaiin,0.0,0.000260182,0.0,0.002205348,0.0,0.000294032,2.8273308347083246,5.470827290941978,0
chekaiin,0.0,0.000618567,0.0,0.001747697,0.0,0.0,0.1645955563900582,6.82086286185467,1
shekain,0.0,0.0,0.0,0.001747697,0.0,0.000139809,1.4418332311163342,3.2795030991523624,1
olkchdy,0.000109269,0.0,0.0,0.001747697,0.0,0.0,1.133141712437802,3.536052408691882,1
olkor,5.46e-05,0.0,0.0,0.001747697,0.0,0.0,0.7518419827718339,3.489589582917695,1
olkain,0.00089623,0.0,0.0,0.001654011,0.0,0.000117613,7.463170226828768,3.872476476862911,0
chcfhol,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chckhyfchy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chals,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
akarar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
alfshed,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
arcsy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chorchor,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chk,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chekchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chetchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chepchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
chefar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
cthoepain,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
dchody,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,1
