word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars,PC1,PC2,cluster
chedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
shedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
aiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
daiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokeedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokeey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
or,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
shey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
al,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokal,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qol,0.001659555,3.85375e-05,0.0,0.000327524,18.76180420486585,-2.5354061137544823,3
qokar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chdy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dal,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okeey,0.000271824,0.0003083,0.0,0.00112294,12.602824467752429,-3.1436727467832752,3
chckhy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
lchedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qoky,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otal,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okeedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sheey,0.000643793,0.000269763,0.0,0.000573167,10.529797783071245,-3.1508159262244027,3
chol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
saiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okal,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
oteey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
oteedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheol,0.000457808,0.000269763,0.0,0.000608259,9.10833820836753,-2.9011295585293797,3
qotedy,0.000729632,0.000500988,0.0,0.000315827,7.585178149724188,-5.143289088751968,3
qokey,0.000629486,0.00015415,0.0,0.000467892,9.795393899954773,-2.1141232365110754,3
sheedy,0.000672406,0.0003083,0.0,0.000315827,7.901216058331676,-3.4290284478759547,3
ain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qoteedy,0.00057226,7.70751e-05,0.0,0.000362616,8.473415063707227,-1.3437626261309539,3
sheol,0.000486421,0.0003083,0.0,0.000315827,6.107350371967312,-3.167232899618801,3
qotaiin,0.000343356,0.0,0.000686477,0.000456194,6.64794021179241,3.0592326265526393,4
y,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
raiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
oty,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qotain,0.000930701,0.0,0.0,0.000986429,18.897931785864824,-1.410086444579708,3
qotar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sain,0.000472115,0.0,0.000228826,0.000315827,7.038847459550376,0.6200309772407209,3
shol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
s,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qoty,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chcthy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
am,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokchdy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
shckhy,0.000443502,0.000115613,0.0,0.000233946,5.692433839280868,-1.4448648664033072,4
keedy,0.000271824,0.0003083,0.0,0.000304129,3.913373290989444,-2.861126005495818,4
qotal,0.000429195,0.00015415,0.0,0.000222248,5.2567009573623915,-1.7474260631696243,4
cheody,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
opchedy,0.000271824,0.000192688,0.0,0.000304129,4.434166745729848,-1.8809077596816466,4
dair,0.000157372,0.000346838,0.0,0.000339221,3.0082642035966596,-3.0388757340127768,4
lkaiin,0.000310234,0.0,0.0,0.001127348,14.40886473342573,-0.5853337349126359,3
oky,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sar,0.000371969,0.000115613,0.0,0.000233946,5.002482530612416,-1.3441738378070278,4
air,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sol,0.000600873,0.0,0.000228826,5.84864e-05,5.549775942009975,0.5275895008350986,4
chody,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
kaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
kar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
kain,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
checkhy,0.000300437,0.000269763,0.0,0.000198854,3.2457404794024054,-2.538338349694955,4
cheky,0.000143065,0.000924901,0.0,0.00012867,-1.9681367616084973,-7.84719889156395,1
oly,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
lchey,0.00032905,0.000192688,0.0,0.000187157,3.7447843787482915,-1.9210965443977093,4
kedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
dam,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
lshedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
olkeedy,0.00032905,0.0,0.000457651,0.000198854,4.098298724726125,2.0149702962145177,4
shdy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
tedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
lkeedy,7.15325e-05,0.000115613,0.0,0.000386011,3.718463568930292,-0.9737474744432861,4
r,0.00028613,0.000423913,0.0,0.000116973,1.544408027035634,-3.796908254737195,4
lkeey,4.29195e-05,3.85375e-05,0.0,0.000421102,4.16207986426948,-0.2920942840474812,4
lol,0.000357663,3.85375e-05,0.0,0.000152065,4.342753389942585,-0.6422959410626903,4
lor,0.000171678,0.000115613,0.0,0.000280735,3.5671703144322717,-1.078386387460157,4
olkeey,0.000314743,0.0,0.000228826,0.000175459,4.0313359209674,0.889987117831182,4
qokchedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
tar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
aiiin,0.000214598,7.70751e-05,0.0,0.000233946,3.6582054547799565,-0.7959116073175029,4
olchedy,0.000386276,3.85375e-05,0.0,0.000105276,4.122194039578861,-0.6664266119182496,4
otam,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
char,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otey,0.000243211,0.00015415,0.0,0.000175459,2.9663069714273385,-1.4694864634692761,4
dshedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
l,0.000143065,0.00015415,0.0,0.000245643,2.7451892916562035,-1.3527376660820412,4
lkain,0.000206822,0.0,0.0,0.000817327,10.121404053584403,-0.3327904948295577,3
olaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sheckhy,0.000314743,7.70751e-05,0.0,0.00012867,3.5069073776734294,-0.9005498165261412,4
okey,0.000171678,0.000231225,0.0,0.000187157,2.053300970116463,-2.0263137151550086,4
otchedy,0.000185985,0.00015415,0.0,0.000198854,2.6626240611129757,-1.3970071057034423,4
pchedy,0.000243211,0.00015415,0.0,0.000152065,2.71804330517323,-1.4614139064742202,4
shy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheo,0.0,0.00027856,0.0,0.000845511,7.170837682278635,-2.413165429540466,3
olkain,0.000371969,0.0,0.000686477,4.67892e-05,2.5792006464305333,3.160229625732466,4
otol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qopchedy,0.000344704,0.0,0.0,0.000620041,9.357651695594223,-0.4587980775119852,3
tchedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
sor,0.00032905,7.70751e-05,0.0,8.1881e-05,3.148363552706223,-0.9045431262323236,4
odaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
olkaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qoteey,0.000344704,0.0,0.0,0.000591857,9.058555210610647,-0.44907263738423214,3
sal,0.000314743,3.85375e-05,0.0,9.35783e-05,3.308103469187716,-0.5616990632757591,4
ykaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
lkar,0.000310234,0.0,0.0,0.000591857,8.726084580135181,-0.40055209783306356,3
o,0.000100146,0.000385375,0.0,0.000152065,0.2965589189064523,-3.220478227042936,1
sheody,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ytaiin,0.000257517,7.70751e-05,0.0,0.000116973,2.8308183556984186,-0.8159612781981759,4
lkedy,0.000100146,0.000115613,0.0,0.000222248,2.2565482607865923,-0.9575146838536078,4
qokchy,0.000128759,0.000192688,0.0,0.000175459,1.6887917723739054,-1.635127011424103,4
shody,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chal,0.000275763,0.0,0.0,0.000563674,8.094518431738607,-0.34230505560722424,3
chedar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
oraiin,0.000157372,0.00015415,0.0,0.000152065,1.8901075219012955,-1.340585516728564,4
sheky,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ykeedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ykeey,0.000128759,0.000231225,0.0,0.000152065,1.266931789428355,-1.9537910435282817,4
checthy,0.000243211,0.000115613,0.0,8.1881e-05,2.1468273985433757,-1.1104589562507226,4
chedaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
ches,0.000171678,0.000115613,0.0,0.000140367,2.0775458677896803,-1.029949665211631,4
ody,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
olkedy,0.000300437,3.85375e-05,0.0,5.84864e-05,2.7977139441515346,-0.5294525560712056,4
qodaiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
taiin,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chckhey,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chear,0.000275763,0.0,0.0,0.000507306,7.496325461771451,-0.3228541753517179,3
dchedy,0.000157372,0.000192688,0.0,0.000116973,1.344100588883127,-1.6552214037821342,4
olor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
otchdy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
shcthy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
shor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
yteedy,8.5839e-05,0.0003083,0.0,0.000140367,0.3816194917283795,-2.5428211779950822,1
ykar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
orain,0.000100146,0.000192688,0.0,0.000152065,1.1645495116958189,-1.5867783245138285,4
rain,0.000206822,0.0,0.0,0.00053549,7.13047104058708,-0.23553712876066876,3
olchey,0.000243211,7.70751e-05,0.0,5.84864e-05,2.072157735812489,-0.7756419724498831,4
qokchey,7.15325e-05,7.70751e-05,0.0,0.000198854,1.905901548390911,-0.5824210733710455,4
qotchedy,8.5839e-05,3.85375e-05,0.0,0.000198854,2.217489865093989,-0.27581746211953984,4
qotol,0.000171678,0.000115613,0.0,0.000105276,1.705150368408517,-1.0178408297190469,4
sheor,0.000157372,7.70751e-05,0.0,0.00012867,1.9890299309500565,-0.679031805800671,4
ytedy,0.000157372,0.000462451,0.0,1.16973e-05,-0.9883067979193795,-3.9060840033771154,1
olshedy,0.000243211,3.85375e-05,0.0,5.84864e-05,2.245756755303578,-0.44890029624076816,4
otor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
qokeeey,8.5839e-05,3.85375e-05,0.0,0.000187157,2.0933580319669347,-0.27178118362201187,4
qotchdy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
tol,0.000185985,0.00015415,0.0,7.01837e-05,1.2971388761930778,-1.3526069035011277,4
ykedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
cheal,0.000206822,0.0,0.0,0.000450939,6.233192197915833,-0.20636115344695682,4
dor,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
kchedy,7.15325e-05,0.000115613,0.0,0.000163762,1.3598950658393505,-0.8970561125729692,4
ldy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
okol,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
pol,0.000482586,0.0,0.0,0.00022547,6.500255779557455,-0.5167286145087836,3
qokam,0.000100146,0.000115613,0.0,0.000140367,1.3876042043382424,-0.9292600442318169,4
sheo,4.29195e-05,0.00015415,0.0,0.000175459,1.034451987850985,-1.187552850254513,0
shar,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
yteey,0.000157372,0.00015415,0.0,8.1881e-05,1.1452952985799996,-1.316367155604301,0
ched,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
chedal,2.8613e-05,7.70751e-05,0.0,0.000198854,1.491933656754944,-0.5220068784982175,4
keey,5.7226e-05,7.70751e-05,0.0,0.000175459,1.5196379726453286,-0.5542101063488326,4
okchedy,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
olky,0.0,0.0,0.0,0.0,-0.5471415737108118,0.24037021578929774,0
opchey,8.5839e-05,0.000115613,0.0,0.000140367,1.2496100845177462,-0.909121275465975,4
chl,5.7226e-05,3.85375e-05,0.0,0.000175459,1.6932369921364177,-0.22746843013971768,4
