Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,PC1,PC2,cluster
cheedy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chedy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
daiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ain,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
al,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dain,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
char,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
or,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
shol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
air,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cho,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dan,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dair,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
shar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
an,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
shal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ochol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ched,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheed,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
shor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ochal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
eedy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ydy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ody,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiinol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiinal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chochy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ochy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiinar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chedyol,0.000274882,0.000351238,0.0,0.00038178,0.000229112,4.58136e-05,3.4505766055763867,1.9134907305243558,6
ochar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
shy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chedyar,0.000167983,0.000244339,4.58136e-05,0.000397052,0.000381854,0.0,2.749511779609511,4.269107670118542,6
sain,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chdain,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
kaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
oshol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
edy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
daiir,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dyol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chdaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
sho,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
qochol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ainar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ochor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheol,0.0,0.000290153,0.000351238,3.05424e-05,0.000137467,0.000229068,-3.9567047906562642,-0.188981390003827,3
cheeol,0.0,0.000713195,0.000679233,0.0,0.000271746,0.000577348,-9.3415546360786,-1.0520318899066292,3
o,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cholchol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ychol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiir,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheey,0.0,0.001086773,0.000441502,0.0,0.000339682,0.000305655,-8.412627017643645,1.1728061034435509,3
dy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
y,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
oshy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiinor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheeal,0.0,0.000305424,0.000137441,1.52712e-05,0.000152742,0.000320695,-3.452873891226174,0.08267158837715255,3
daiiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ainol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
arar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
yshol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ychar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
aiiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
