Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6
cheedy,0,0,0,0,0,0
ar,0,0,0,0,0,0
chedy,0,0,0,0,0,0
aiin,0,0,0,0,0,0
ol,0,0,0,0,0,0
daiin,0,0,0,0,0,0
ain,0,0,0,0,0,0
al,0,0,0,0,0,0
chol,0,0,0,0,0,0
dain,0,0,0,0,0,0
char,0,0,0,0,0,0
chal,0,0,0,0,0,0
chor,0,0,0,0,0,0
or,0,0,0,0,0,0
shol,0,0,0,0,0,0
air,0,0,0,0,0,0
chy,0,0,0,0,0,0
cho,0,0,0,0,0,0
dar,0,0,0,0,0,0
dan,0,0,0,0,0,0
dair,0,0,0,0,0,0
shar,0,0,0,0,0,0
an,0,0,0,0,0,0
dol,0,0,0,0,0,0
dal,0,0,0,0,0,0
shal,0,0,0,0,0,0
ochol,0,0,0,0,0,0
ched,0,0,0,0,0,0
cheed,0,0,0,0,0,0
shor,0,0,0,0,0,0
ochal,0,0,0,0,0,0
eedy,0,0,0,0,0,0
ydy,0,0,0,0,0,0
ody,0,0,0,0,0,0
dor,0,0,0,0,0,0
aiinol,0,0,0,0,0,0
aiinal,0,0,0,0,0,0
chochy,0,0,0,0,0,0
ochy,0,0,0,0,0,0
aiinar,0,0,0,0,0,0
chedyol,0.000274882,0.000351238,0,0.00038178,0.000229112,4.58136E-05
ochar,0,0,0,0,0,0
shy,0,0,0,0,0,0
chedyar,0.000167983,0.000244339,4.58136E-05,0.000397052,0.000381854,0
sain,0,0,0,0,0,0
chdain,0,0,0,0,0,0
kaiin,0,0,0,0,0,0
oshol,0,0,0,0,0,0
edy,0,0,0,0,0,0
daiir,0,0,0,0,0,0
dyol,0,0,0,0,0,0
chdaiin,0,0,0,0,0,0
sho,0,0,0,0,0,0
qochol,0,0,0,0,0,0
ainar,0,0,0,0,0,0
ochor,0,0,0,0,0,0
cheol,0,0.000290153,0.000351238,3.05424E-05,0.000137467,0.000229068
cheeol,0,0.000713195,0.000679233,0,0.000271746,0.000577348
o,0,0,0,0,0,0
cholchol,0,0,0,0,0,0
ychol,0,0,0,0,0,0
aiir,0,0,0,0,0,0
cheey,0,0.001086773,0.000441502,0,0.000339682,0.000305655
dy,0,0,0,0,0,0
y,0,0,0,0,0,0
oshy,0,0,0,0,0,0
aiinor,0,0,0,0,0,0
cheeal,0,0.000305424,0.000137441,1.52712E-05,0.000152742,0.000320695
daiiin,0,0,0,0,0,0
ainol,0,0,0,0,0,0
arar,0,0,0,0,0,0
yshol,0,0,0,0,0,0
ychar,0,0,0,0,0,0
aiiin,0,0,0,0,0,0
saiin,0,0,0,0,0,0
cheeedy,0,0,0,0,0,0
oshor,0,0,0,0,0,0
amam,0,0,0,0,0,0
cheal,0,0.000335967,0.000198526,3.05424E-05,9.1645E-05,0.000152712
oshar,0,0,0,0,0,0
ainor,0,0,0,0,0,0
sar,0,0,0,0,0,0
kedy,0,0,0,0,0,0
oshal,0,0,0,0,0,0
cheeor,0,0.000475463,0.00061131,0,0.000169841,0.00040754
chedyor,0.000152712,0.000198526,0,0.000167983,0.000168016,4.58136E-05
cheeo,0,0.000488679,0.00012217,6.10849E-05,1.52742E-05,4.58136E-05
olol,0,0,0,0,0,0
chedyal,0,0,0,0,0,0
ainal,0.000183255,0.000152712,0.000137441,0.000152712,0,7.63561E-05
dyor,9.16273E-05,3.05424E-05,0,1.52712E-05,3.05483E-05,0.000534492
sol,0,0,0,0,0,0
ychor,0,0,0,0,0,0
ychal,0,0,0,0,0,0
qochar,0,0,0,0,0,0
yshar,0,0,0,0,0,0
alal,0,0,0,0,0,0
arol,0,0,0,0,0,0
sal,0,0,0,0,0,0
taiin,0,0,0,0,0,0
cheo,0,0.000397052,7.63561E-05,1.52712E-05,4.58225E-05,9.16273E-05
chey,0,0.000305424,0.00012217,1.52712E-05,0.000106919,7.63561E-05
dyar,0,0,0,0,0,0
qoshar,0,0,0,0,0,0
dyal,0.00012217,3.05424E-05,9.16273E-05,4.58136E-05,0,0.000320695
chkal,0,0,0,0,0,0
sor,0,0,0,0,0,0
ys,0,0.000167983,4.58136E-05,6.10849E-05,7.63708E-05,0.000244339
aror,0,0,0,0,0,0
qo,0,0,0,0,0,0
oror,0,7.63561E-05,9.16273E-05,7.63561E-05,0.000213838,0.000106898
yshor,0,0,0,0,0,0
chear,0,0.000441502,0.000237732,0,0.000203809,0.000339617
okedy,0,0,0,0,0,0
yshal,0,0,0,0,0,0
chkaiin,0,0,0,0,0,0
