word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars
chedy,0,0,0,0
ol,0,0,0,0
shedy,0,0,0,0
aiin,0,0,0,0
daiin,0,0,0,0
qokeedy,0,0,0,0
qokain,0,0,0,0
qokedy,0,0,0,0
qokeey,0,0,0,0
ar,0,0,0,0
chey,0,0,0,0
or,0,0,0,0
qokaiin,0,0,0,0
shey,0,0,0,0
dar,0,0,0,0
al,0,0,0,0
qokal,0,0,0,0
okaiin,0,0,0,0
otedy,0,0,0,0
qol,0.001659555,3.85375E-05,0,0.000327524
qokar,0,0,0,0
okain,0,0,0,0
chdy,0,0,0,0
dal,0,0,0,0
cheey,0,0,0,0
okeey,0.000271824,0.0003083,0,0.00112294
chckhy,0,0,0,0
lchedy,0,0,0,0
dain,0,0,0,0
otar,0,0,0,0
okedy,0,0,0,0
qoky,0,0,0,0
dy,0,0,0,0
otaiin,0,0,0,0
otal,0,0,0,0
okar,0,0,0,0
okeedy,0,0,0,0
sheey,0.000643793,0.000269763,0,0.000573167
chol,0,0,0,0
saiin,0,0,0,0
okal,0,0,0,0
oteey,0,0,0,0
otain,0,0,0,0
oteedy,0,0,0,0
cheol,0.000457808,0.000269763,0,0.000608259
qotedy,0.000729632,0.000500988,0,0.000315827
qokey,0.000629486,0.00015415,0,0.000467892
sheedy,0.000672406,0.0003083,0,0.000315827
ain,0,0,0,0
qoteedy,0.00057226,7.70751E-05,0,0.000362616
sheol,0.000486421,0.0003083,0,0.000315827
qotaiin,0.000343356,0,0.000686477,0.000456194
y,0,0,0,0
raiin,0,0,0,0
oty,0,0,0,0
qotain,0.000930701,0,0,0.000986429
qotar,0,0,0,0
sain,0.000472115,0,0.000228826,0.000315827
shol,0,0,0,0
s,0,0,0,0
qoty,0,0,0,0
chcthy,0,0,0,0
qokol,0,0,0,0
am,0,0,0,0
cheedy,0,0,0,0
qokchdy,0,0,0,0
shckhy,0.000443502,0.000115613,0,0.000233946
keedy,0.000271824,0.0003083,0,0.000304129
qotal,0.000429195,0.00015415,0,0.000222248
cheody,0,0,0,0
dol,0,0,0,0
opchedy,0.000271824,0.000192688,0,0.000304129
dair,0.000157372,0.000346838,0,0.000339221
lkaiin,0.000310234,0,0,0.001127348
oky,0,0,0,0
sar,0.000371969,0.000115613,0,0.000233946
air,0,0,0,0
sol,0.000600873,0,0.000228826,5.84864E-05
chody,0,0,0,0
kaiin,0,0,0,0
kar,0,0,0,0
kain,0,0,0,0
checkhy,0.000300437,0.000269763,0,0.000198854
cheky,0.000143065,0.000924901,0,0.00012867
oly,0,0,0,0
lchey,0.00032905,0.000192688,0,0.000187157
kedy,0,0,0,0
dam,0,0,0,0
lshedy,0,0,0,0
olkeedy,0.00032905,0,0.000457651,0.000198854
shdy,0,0,0,0
tedy,0,0,0,0
lkeedy,7.15325E-05,0.000115613,0,0.000386011
r,0.00028613,0.000423913,0,0.000116973
lkeey,4.29195E-05,3.85375E-05,0,0.000421102
lol,0.000357663,3.85375E-05,0,0.000152065
lor,0.000171678,0.000115613,0,0.000280735
olkeey,0.000314743,0,0.000228826,0.000175459
qokchedy,0,0,0,0
tar,0,0,0,0
aiiin,0.000214598,7.70751E-05,0,0.000233946
olchedy,0.000386276,3.85375E-05,0,0.000105276
otam,0,0,0,0
char,0,0,0,0
chy,0,0,0,0
otey,0.000243211,0.00015415,0,0.000175459
dshedy,0,0,0,0
l,0.000143065,0.00015415,0,0.000245643
lkain,0.000206822,0,0,0.000817327
olaiin,0,0,0,0
sheckhy,0.000314743,7.70751E-05,0,0.00012867
okey,0.000171678,0.000231225,0,0.000187157
otchedy,0.000185985,0.00015415,0,0.000198854
pchedy,0.000243211,0.00015415,0,0.000152065
shy,0,0,0,0
cheo,0,0.00027856,0,0.000845511
olkain,0.000371969,0,0.000686477,4.67892E-05
otol,0,0,0,0
chor,0,0,0,0
cheor,0,0,0,0
qopchedy,0.000344704,0,0,0.000620041
tchedy,0,0,0,0
sor,0.00032905,7.70751E-05,0,8.1881E-05
odaiin,0,0,0,0
olkaiin,0,0,0,0
qoteey,0.000344704,0,0,0.000591857
sal,0.000314743,3.85375E-05,0,9.35783E-05
ykaiin,0,0,0,0
lkar,0.000310234,0,0,0.000591857
