word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,,,,,,,,
opeeo,0,0.000461614,0,0,us,,,,,,,,
oteed,0,0.000461614,0,0,us,,,,,,,,
rees,0,0.000461614,0,0,ot,,,,,,,,
ydy,0,0.000461614,0,0,ci,,,,,,,,
teeey,0,0.000403912,0,5.74594E-05,rc,,,,,,,,
eseo,0,0.00034621,0,0,qu,,,,,,,,
lr,0,0.00034621,0,0,mc,,,,,,,,
ochee,0,0.00034621,0,0,cu,,,,,,,,
olkm,0,0.00034621,0,0,ui,,,,,,,,
olkeos,0,0.00034621,0,0,uo,,,,,,,,
olkeeedy,0,0.00034621,0,0,uo,,,,,,,,
opeos,0,0.00034621,0,0,uo,,,,,,,,
qodam,0,0.00034621,0,0,er,,,,,,,,
qoor,0,0.00034621,0,0,eo,,,,,,,,
qotdor,0,0.00034621,0,0,im,,,,,,,,
qopcheeey,0,0.00034621,0,0,rc,,,,,,,,
tr,0,0.00034621,0,0,rc,,,,,,,,
taiiin,0,0.00034621,0,0,rc,,,,,,,,
ykeeey,0,0.00034621,0,0,ic,,,,,,,,
lteedy,0.00011547,0.000288509,0,0,or,,,,,,,,
lsody,0,0.000230807,0,0.000114919,am,,,,,,,,
laly,0,0.000230807,0,5.74594E-05,ma,,,,,,,,
tcheeol,0,0.000230807,0,5.74594E-05,ru,,,,,,,,
ksheey,0,0.000230807,0.000173138,0,su,,,,,,,,
pchain,0,0.000230807,0.000115426,0,te,,,,,,,,
qoedy,0,0.000230807,5.77128E-05,0,ee,,,,,,,,
che,0,0.000230807,0,0,ep,,,,,,,,
aiirom,0,0.000230807,0,0,nt,,,,,,,,
aiireo,0,0.000230807,0,0,nu,,,,,,,,
chctheedain,0,0.000230807,0,0,su,,,,,,,,
aiiinaly,0,0.000230807,0,0,ma,,,,,,,,
ared,0,0.000230807,0,0,ta,,,,,,,,
aras,0,0.000230807,0,0,tp,,,,,,,,
aiiineey,0,0.000230807,0,0,mu,,,,,,,,
dcher,0,0.000230807,0,0,ph,,,,,,,,
ctheeol,0,0.000230807,0,0,lu,,,,,,,,
ckheedar,0,0.000230807,0,0,um,,,,,,,,
chols,0,0.000230807,0,0,eq,,,,,,,,
dshaiir,0,0.000230807,0,0,ec,,,,,,,,
kom,0,0.000230807,0,0,it,,,,,,,,
lcheal,0,0.000230807,0,0,cu,,,,,,,,
ksheeod,0,0.000230807,0,0,sp,,,,,,,,
lg,0,0.000230807,0,0,mg,,,,,,,,
lol,0,0.000230807,0,0,me,,,,,,,,
leo,0,0.000230807,0,0,mu,,,,,,,,
leal,0,0.000230807,0,0,mu,,,,,,,,
ocheeedy,0,0.000230807,0,0,co,,,,,,,,
oeeol,0,0.000230807,0,0,du,,,,,,,,
oeeey,0,0.000230807,0,0,dc,,,,,,,,
ofcheed,0,0.000230807,0,0,ps,,,,,,,,
ocheal,0,0.000230807,0,0,cu,,,,,,,,
octheey,0,0.000230807,0,0,bu,,,,,,,,
ofchdair,0,0.000230807,0,0,po,,,,,,,,
odyeear,0,0.000230807,0,0,or,,,,,,,,
odo,0,0.000230807,0,0,ti,,,,,,,,
odeor,0,0.000230807,0,0,ti,,,,,,,,
oched,0,0.000230807,0,0,ca,,,,,,,,
olteo,0,0.000230807,0,0,cu,,,,,,,,
oltod,0,0.000230807,0,0,ci,,,,,,,,
olcheees,0,0.000230807,0,0,an,,,,,,,,
olkos,0,0.000230807,0,0,us,,,,,,,,
olshedal,0,0.000230807,0,0,is,,,,,,,,
olshey,0,0.000230807,0,0,ie,,,,,,,,
olsheeody,0,0.000230807,0,0,id,,,,,,,,
olkeedaiin,0,0.000230807,0,0,ul,,,,,,,,
otcheeey,0,0.000230807,0,0,rc,,,,,,,,
opeain,0,0.000230807,0,0,un,,,,,,,,
oseeody,0,0.000230807,0,0,nd,,,,,,,,
orydy,0,0.000230807,0,0,hi,,,,,,,,
otchaiiin,0,0.000230807,0,0,rc,,,,,,,,
otas,0,0.000230807,0,0,up,,,,,,,,
oteain,0,0.000230807,0,0,un,,,,,,,,
pchas,0,0.000230807,0,0,tp,,,,,,,,
pdy,0,0.000230807,0,0,ui,,,,,,,,
qoeear,0,0.000230807,0,0,er,,,,,,,,
qal,0,0.000230807,0,0,mn,,,,,,,,
peeody,0,0.000230807,0,0,ud,,,,,,,,
por,0,0.000230807,0,0,uo,,,,,,,,
pe,0,0.000230807,0,0,up,,,,,,,,
qofcham,0,0.000230807,0,0,ct,,,,,,,,
qotoly,0,0.000230807,0,0,id,,,,,,,,
qolkeo,0,0.000230807,0,0,pu,,,,,,,,
rshdy,0,0.000230807,0,0,fi,,,,,,,,
qolo,0,0.000230807,0,0,di,,,,,,,,
qopeeedy,0,0.000230807,0,0,ro,,,,,,,,
shcthedam,0,0.000230807,0,0,mo,,,,,,,,
salal,0,0.000230807,0,0,in,,,,,,,,
salaiin,0,0.000230807,0,0,ia,,,,,,,,
schod,0,0.000230807,0,0,li,,,,,,,,
shiin,0,0.000230807,0,0,aq,,,,,,,,
so,0,0.000230807,0,0,mi,,,,,,,,
shear,0,0.000230807,0,0,ae,,,,,,,,
sordaiin,0,0.000230807,0,0,tr,,,,,,,,
tee,0,0.000230807,0,0,ru,,,,,,,,
tchr,0,0.000230807,0,0,rc,,,,,,,,
ychain,0,0.000230807,0,0,ie,,,,,,,,
sorain,0,0.000230807,0,0,te,,,,,,,,
tshey,0,0.000230807,0,0,ce,,,,,,,,
tshom,0,0.000230807,0,0,ct,,,,,,,,
ykchod,0,0.000230807,0,0,li,,,,,,,,
ykchaiin,0,0.000230807,0,0,la,,,,,,,,
ychl,0,0.000230807,0,0,ib,,,,,,,,
ykeeor,0,0.000230807,0,0,ir,,,,,,,,
ypchod,0,0.000230807,0,0,li,,,,,,,,
ycheos,0,0.000230807,0,0,io,,,,,,,,
arey,5.77349E-05,0.000173105,0,0,te,,,,,,,,
daleor,5.77349E-05,0.000173105,0,0,di,,,,,,,,
lchod,5.77349E-05,0.000173105,0,0,ci,,,,,,,,
odeedy,5.77349E-05,0.000173105,0,0,tr,,,,,,,,
olkdy,5.77349E-05,0.000173105,0,0,ui,,,,,,,,
qokshor,5.77349E-05,0.000173105,0,0,po,,,,,,,,
dleal,0,0.000173105,0,0.000114919,qu,,,,,,,,
peed,0,0.000173105,0,0.000114919,us,,,,,,,,
olchear,0,0.000173105,0,5.74594E-05,ae,,,,,,,,
oteeedy,0,0.000173105,0,5.74594E-05,uo,,,,,,,,
otdair,0,0.000173105,0,5.74594E-05,uo,,,,,,,,
oteeal,0,0.000173105,0,5.74594E-05,um,,,,,,,,
qokcheey,0,0.000173105,0,5.74594E-05,lu,,,,,,,,
oteeo,0,0.000173105,0.000288564,0,us,,,,,,,,
lchy,0,0.000173105,0.000115426,0,ct,,,,,,,,
keedy,0,0.000173105,5.77128E-05,0,ir,,,,,,,,
kcheeey,0,0.000173105,5.77128E-05,0,nc,,,,,,,,
odeedain,0,0.000173105,5.77128E-05,0,tu,,,,,,,,
old,0,0.000173105,5.77128E-05,0,en,,,,,,,,
rcheo,0,0.000173105,5.77128E-05,0,tu,,,,,,,,
sear,0,0.000173105,5.77128E-05,0,me,,,,,,,,
tsheey,0,0.000173105,5.77128E-05,0,cu,,,,,,,,
ytchy,0,0.000173105,5.77128E-05,0,st,,,,,,,,
ky,4.79243E-05,0.000167639,0.000119765,0,it,,,,,,,,
lcheey,0,0.000167639,7.18589E-05,7.15435E-05,cu,,,,,,,,
okchy,0.000215659,0.00014369,0,0.000166935,g,,,,,,,,
opchedy,4.79243E-05,0.00014369,0,7.15435E-05,ne,,,,,,,,
qoy,0,0.00014369,0.000143718,2.38478E-05,et,,,,,,,,
opchy,9.58487E-05,0.000119742,0,4.76956E-05,nt,,,,,,,,
cheod,4.79243E-05,0.000119742,0,2.38478E-05,en,,,,,,,,
otedal,0,0.000119742,4.7906E-05,7.15435E-05,us,,,,,,,,
keain,0,0.000119742,2.3953E-05,7.15435E-05,in,,,,,,,,
