word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
tchody,0,0,0,0.002850371,0,0
chdaiin,0,0.000260182,0,0.002205348,0,0.000294032
chekaiin,0,0.000618567,0,0.001747697,0,0
shekain,0,0,0,0.001747697,0,0.000139809
olkchdy,0.000109269,0,0,0.001747697,0,0
olkor,0.0000546,0,0,0.001747697,0,0
olkain,0.00089623,0,0,0.001654011,0,0.000117613
chcfhol,0,0,0,0.001425185,0,0
chckhyfchy,0,0,0,0.001425185,0,0
chals,0,0,0,0.001425185,0,0
akarar,0,0,0,0.001425185,0,0
alfshed,0,0,0,0.001425185,0,0
arcsy,0,0,0,0.001425185,0,0
chorchor,0,0,0,0.001425185,0,0
chk,0,0,0,0.001425185,0,0
chekchdy,0,0,0,0.001425185,0,0
chetchdy,0,0,0,0.001425185,0,0
chepchdy,0,0,0,0.001425185,0,0
chefar,0,0,0,0.001425185,0,0
cthoepain,0,0,0,0.001425185,0,0
dchody,0,0,0,0.001425185,0,0
dolkchy,0,0,0,0.001425185,0,0
dolkain,0,0,0,0.001425185,0,0
dalfchy,0,0,0,0.001425185,0,0
daraiin,0,0,0,0.001425185,0,0
keo,0,0,0,0.001425185,0,0
kshol,0,0,0,0.001425185,0,0
kalchdy,0,0,0,0.001425185,0,0
kaedy,0,0,0,0.001425185,0,0
fchodaiin,0,0,0,0.001425185,0,0
dytchdy,0,0,0,0.001425185,0,0
kchedaiin,0,0,0,0.001425185,0,0
epaiin,0,0,0,0.001425185,0,0
kshdor,0,0,0,0.001425185,0,0
oekeey,0,0,0,0.001425185,0,0
oekshy,0,0,0,0.001425185,0,0
lshee,0,0,0,0.001425185,0,0
okedyted,0,0,0,0.001425185,0,0
olsain,0,0,0,0.001425185,0,0
okaraiin,0,0,0,0.001425185,0,0
okeesy,0,0,0,0.001425185,0,0
opaiis,0,0,0,0.001425185,0,0
otardy,0,0,0,0.001425185,0,0
oteedan,0,0,0,0.001425185,0,0
otalain,0,0,0,0.001425185,0,0
otalaiin,0,0,0,0.001425185,0,0
opshol,0,0,0,0.001425185,0,0
opchaikhy,0,0,0,0.001425185,0,0
pshedar,0,0,0,0.001425185,0,0
qofain,0,0,0,0.001425185,0,0
qofchdaiin,0,0,0,0.001425185,0,0
qofaiin,0,0,0,0.001425185,0,0
pchd,0,0,0,0.001425185,0,0
qof,0,0,0,0.001425185,0,0
oxockhey,0,0,0,0.001425185,0,0
qotches,0,0,0,0.001425185,0,0
qoksh,0,0,0,0.001425185,0,0
qopchedal,0,0,0,0.001425185,0,0
shdaly,0,0,0,0.001425185,0,0
shekydy,0,0,0,0.001425185,0,0
sdal,0,0,0,0.001425185,0,0
shsdy,0,0,0,0.001425185,0,0
skchdy,0,0,0,0.001425185,0,0
todal,0,0,0,0.001425185,0,0
shoyfar,0,0,0,0.001425185,0,0
todain,0,0,0,0.001425185,0,0
sheyk,0,0,0,0.001425185,0,0
teodaiin,0,0,0,0.001425185,0,0
ypchdair,0,0,0,0.001425185,0,0
ykoldy,0,0,0,0.001425185,0,0
tshor,0,0,0,0.001425185,0,0
ytasal,0,0,0,0.001425185,0,0
ychar,0,0,0,0.001425185,0,0
ykaro,0,0,0,0.001425185,0,0
tshes,0,0,0,0.001425185,0,0
ykaipy,0,0,0,0.001425185,0,0
tolteedy,0,0,0,0.001425185,0,0
chcthy,0.000524261,0.000228295,0,0.001290046,0,0.000395595
tar,0.000262131,0.000456589,0,0.001290046,0,0.000257997
olkeedy,0.000792819,0,0,0.001102674,0,0.000499854
otchy,0.000206822,0,0,0.001102674,0,0.000117613
tshey,0.000103411,0,0,0.001102674,0,0.0000882
dchdy,0.000137882,0.000130091,0,0.001102674,0,0
kshedy,0.0000689,0,0,0.001102674,0,0.0000588
eedy,0.0000345,0.000260182,0,0.001102674,0,0
okshy,0.0000689,0,0,0.001102674,0,0.0000294
cholky,0,0.000130091,0,0.001102674,0,0.0000294
tam,0.0000345,0.000130091,0,0.001102674,0,0
todaiin,0,0,0.000324386,0.001102674,0,0.0000294
tchor,0.0000345,0,0,0.001102674,0,0.0000294
qokaiin,0.000961092,0.000444838,0,0.001015144,0.000179143,0.000873948
okal,0.00026294,0.000547493,0.000255974,0.001015144,0,0.000317096
qotaiin,0.000483933,0,0,0.000967534,0.000796793,0.000636392
kaiin,0.000201639,0.000456589,0,0.000967534,0,0.000481594
otody,0.0000202,0.0000761,0,0.000967534,0,0.0000516
shedain,0,0,0,0.000873848,0,0.00046603
alkain,0,0,0,0.000873848,0,0.000279618
qodar,0.000163903,0,0,0.000873848,0,0
chckhaiin,0,0,0,0.000873848,0,0.0000932
opary,0,0,0,0.000873848,0,0.0000932
otaldy,0.000109269,0,0,0.000873848,0,0
podar,0,0,0,0.000873848,0,0.0000932
poiin,0.000109269,0,0,0.000873848,0,0
qotedaiin,0.000109269,0,0,0.000873848,0,0
shcthhy,0.000109269,0,0,0.000873848,0,0
alod,0,0,0,0.000873848,0,0.0000466
chctham,0,0,0,0.000873848,0,0.0000466
chkam,0.0000546,0,0,0.000873848,0,0
chetaiin,0,0,0,0.000873848,0,0.0000466
dkshey,0.0000546,0,0,0.000873848,0,0
dan,0.0000546,0,0,0.000873848,0,0
dalshdy,0.0000546,0,0,0.000873848,0,0
kshed,0,0,0,0.000873848,0,0.0000466
ofaiin,0.0000546,0,0,0.000873848,0,0
odaly,0,0,0,0.000873848,0,0.0000466
oldaiin,0,0.000206189,0,0.000873848,0,0
olkeody,0,0.000206189,0,0.000873848,0,0
oltar,0.0000546,0,0,0.000873848,0,0
okchaiin,0,0,0,0.000873848,0,0.0000466
osain,0,0,0,0.000873848,0,0.0000466
qekeey,0,0,0,0.000873848,0,0.0000466
qokeeod,0,0,0,0.000873848,0,0.0000466
shekshey,0,0.000206189,0,0.000873848,0,0
sheocthy,0,0,0.000514139,0.000873848,0,0
tchdor,0,0,0,0.000873848,0,0.0000466
tchdaiin,0,0.000206189,0,0.000873848,0,0
teedal,0,0,0,0.000873848,0,0.0000466
ykaly,0,0,0.000514139,0.000873848,0,0
toky,0,0,0,0.000873848,0,0.0000466
ytshedy,0,0.000206189,0,0.000873848,0,0
tshod,0,0,0,0.000873848,0,0.0000466
tshdol,0,0,0,0.000873848,0,0.0000466
chckhy,0.000398944,0.000923895,0.000341298,0.000870124,0,0.000301628
okar,0.000281074,0.000752804,0.000255974,0.000870124,0,0.000317096
otain,0.000281074,0.000102655,0,0.000870124,0.000179143,0.000394437
okain,0.000426144,0.000273747,0.000170649,0.000725103,0,0.00057232
oty,0.000235739,0.000239528,0.0000853,0.000725103,0,0.000177883
olkaiin,0.000221803,0.000228295,0,0.000645023,0,0.000257997
olor,0.00036295,0.000152196,0,0.000645023,0,0.0000688
otor,0.000161311,0.000304393,0,0.000645023,0,0.000154798
yty,0.0000403,0.000304393,0,0.000645023,0,0.0000172
chekar,0.0000403,0.000152196,0,0.000645023,0,0.0000172
qokal,0.001051761,0.000136873,0.000341298,0.000580082,0,0.000317096
