word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PC1,PC2,cluster
opeeo,0.0,0.000461614,0.0,0.0,us,,,,,,,,,-4.328728556149594,-4.928747987920441,8
oteed,0.0,0.000461614,0.0,0.0,us,,,,,,,,,-4.328728556149594,-4.928747987920441,8
rees,0.0,0.000461614,0.0,0.0,ot,,,,,,,,,-4.328728556149594,-4.928747987920441,8
ydy,0.0,0.000461614,0.0,0.0,ci,,,,,,,,,-4.328728556149594,-4.928747987920441,8
teeey,0.0,0.000403912,0.0,5.74594e-05,rc,,,,,,,,,-3.788690726546883,-3.548861984282963,8
eseo,0.0,0.00034621,0.0,0.0,qu,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
lr,0.0,0.00034621,0.0,0.0,mc,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
ochee,0.0,0.00034621,0.0,0.0,cu,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
olkm,0.0,0.00034621,0.0,0.0,ui,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
olkeos,0.0,0.00034621,0.0,0.0,uo,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
olkeeedy,0.0,0.00034621,0.0,0.0,uo,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
opeos,0.0,0.00034621,0.0,0.0,uo,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
qodam,0.0,0.00034621,0.0,0.0,er,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
qoor,0.0,0.00034621,0.0,0.0,eo,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
qotdor,0.0,0.00034621,0.0,0.0,im,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
qopcheeey,0.0,0.00034621,0.0,0.0,rc,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
tr,0.0,0.00034621,0.0,0.0,rc,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
taiiin,0.0,0.00034621,0.0,0.0,rc,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
ykeeey,0.0,0.00034621,0.0,0.0,ic,,,,,,,,,-3.2418109833713764,-3.7025584825074294,8
lteedy,0.00011547,0.000288509,0.0,0.0,or,,,,,,,,,-1.1973057612436102,-3.66244766151569,8
lsody,0.0,0.000230807,0.0,0.000114919,am,,,,,,,,,-2.1617447544433537,-0.9427944314386184,0
laly,0.0,0.000230807,0.0,5.74594e-05,ma,,,,,,,,,-2.1583237857495683,-1.7095883513541283,8
tcheeol,0.0,0.000230807,0.0,5.74594e-05,ru,,,,,,,,,-2.1583237857495683,-1.7095883513541283,8
ksheey,0.0,0.000230807,0.000173138,0.0,su,,,,,,,,,-3.084008372424083,-1.8352919149107243,8
pchain,0.0,0.000230807,0.000115426,0.0,te,,,,,,,,,-2.7743101021182217,-2.0489853421984945,8
qoedy,0.0,0.000230807,5.77128e-05,0.0,ee,,,,,,,,,-2.4646053922863635,-2.2626832127929037,8
che,0.0,0.000230807,0.0,0.0,ep,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
aiirom,0.0,0.000230807,0.0,0.0,nt,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
aiireo,0.0,0.000230807,0.0,0.0,nu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
chctheedain,0.0,0.000230807,0.0,0.0,su,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
aiiinaly,0.0,0.000230807,0.0,0.0,ma,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ared,0.0,0.000230807,0.0,0.0,ta,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
aras,0.0,0.000230807,0.0,0.0,tp,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
aiiineey,0.0,0.000230807,0.0,0.0,mu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
dcher,0.0,0.000230807,0.0,0.0,ph,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ctheeol,0.0,0.000230807,0.0,0.0,lu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ckheedar,0.0,0.000230807,0.0,0.0,um,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
chols,0.0,0.000230807,0.0,0.0,eq,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
dshaiir,0.0,0.000230807,0.0,0.0,ec,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
kom,0.0,0.000230807,0.0,0.0,it,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
lcheal,0.0,0.000230807,0.0,0.0,cu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ksheeod,0.0,0.000230807,0.0,0.0,sp,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
lg,0.0,0.000230807,0.0,0.0,mg,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
lol,0.0,0.000230807,0.0,0.0,me,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
leo,0.0,0.000230807,0.0,0.0,mu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
leal,0.0,0.000230807,0.0,0.0,mu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ocheeedy,0.0,0.000230807,0.0,0.0,co,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oeeol,0.0,0.000230807,0.0,0.0,du,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oeeey,0.0,0.000230807,0.0,0.0,dc,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ofcheed,0.0,0.000230807,0.0,0.0,ps,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ocheal,0.0,0.000230807,0.0,0.0,cu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
octheey,0.0,0.000230807,0.0,0.0,bu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ofchdair,0.0,0.000230807,0.0,0.0,po,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
odyeear,0.0,0.000230807,0.0,0.0,or,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
