word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3,PC1,PC2,cluster
tchody,0.0,0.0,0.0,0.002850371,0.0,0.0,1.0724484018618852,5.734933267319073,2
chdaiin,0.0,0.000260182,0.0,0.002205348,0.0,0.000294032,2.8273308347083246,5.470827290941978,2
chekaiin,0.0,0.000618567,0.0,0.001747697,0.0,0.0,0.1645955563900582,6.82086286185467,2
shekain,0.0,0.0,0.0,0.001747697,0.0,0.000139809,1.4418332311163342,3.2795030991523624,2
olkchdy,0.000109269,0.0,0.0,0.001747697,0.0,0.0,1.133141712437802,3.536052408691882,2
olkor,5.46e-05,0.0,0.0,0.001747697,0.0,0.0,0.7518419827718339,3.489589582917695,2
olkain,0.00089623,0.0,0.0,0.001654011,0.0,0.000117613,7.463170226828768,3.872476476862911,4
chcfhol,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chckhyfchy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chals,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
akarar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
alfshed,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
arcsy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chorchor,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chk,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chekchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chetchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chepchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chefar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
cthoepain,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
dchody,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
dolkchy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
dolkain,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
dalfchy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
daraiin,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
keo,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
kshol,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
kalchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
kaedy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
