Row Labels,tfidf_26,tfidf_31,tfidf_33,tfidf_34,tfidf_39,tfidf_40,tfidf_41,tfidf_43,tfidf_46,tfidf_48,tfidf_50,tfidf_55,tfidf_57,tfidf_66,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_94,tfidf_95,tfidf_103,tfidf_104,tfidf_105,tfidf_106,tfidf_107,tfidf_108,tfidf_111,tfidf_112,tfidf_113,tfidf_114,tfidf_115,tfidf_116,PC1,PC2,cluster
lkchey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001704453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005624694,0.0,0.002668894,0.0,1.2048539207507214,4.324006108941792,0
lkaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476916,0.000690806,0.0,0.0,0.001113387,0.0,0.000749888,0.0,0.0,0.0,0.001373289,0.0,0.0,0.000936205,0.002544263,0.002399642,0.001572179,0.006285382,0.000859438,0.000387697,0.0,0.004103388,0.0,0.000540845,0.0,5.668024675838038,12.487590105823122,1
polaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001344086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001315789,0.0,0.0,0.000942507,0.0,0.0,0.004,0.0,0.0,0.0,0.981561805084507,3.001716042246266,0
chckhhy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002445519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000956581,0.0,0.003374816,0.0,0.0,0.0,0.04357548127411021,1.8212583688520254,0
cheoar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004912396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001293033,0.0,0.0,0.0,0.0,0.003374816,0.0,0.0,0.0,-0.12623890289635392,3.0093471918528665,0
rchedy,0.0046813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001107404,0.001005994,0.0,0.002710226,0.002732699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003295635,0.0,0.0,0.0,3.7232982793892493,0.08087937816932592,1
kcheey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00320412,0.0,0.0,0.0,-0.5370126540825273,1.5715251405935582,0
lkches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00320412,0.0,0.0,0.0,-0.5370126540825273,1.5715251405935582,0
cheeey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001026694,0.001116071,0.0,0.001149425,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.4583225381698722,3.1556912883056567,0
lkchedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000939476,0.0,0.0,0.001149622,0.0,0.0,0.001426469,0.001052666,0.0,0.0,0.0,0.0,0.0,0.000803414,0.0,0.0,0.0,0.0,0.00279588,0.000863993,0.00414573,0.0,1.5843946209441495,4.840369314228273,0
cheeody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010380345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002015826,0.0,0.0,0.000957678,0.0,0.0,0.0,0.00270927,0.0,0.001071281,0.0,-0.02616174436575153,4.160905474512367,0
qokeeody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003582212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108409,0.0,0.00087371,0.0,0.0,0.001015917,0.002471726,0.0,0.000977353,0.0,0.08690331829627353,2.6546424615446433,0
oteeey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000919541,0.0,0.0,0.00087371,0.0,0.000700603,0.001015917,0.002471726,0.001018429,0.0,0.0,0.3875534187680317,3.950673282430707,0
otaiin,0.0,0.0,0.001225684,0.0,0.0,0.0,0.0,0.000724996,0.0,0.001031855,0.003559071,0.0,0.0,0.00048228,0.0,0.000232059,0.0,0.000757163,0.000596368,0.000812633,0.0,0.000364883,0.001103725,0.0,0.000905505,0.001837603,0.001212288,0.000611154,0.000227771,0.001485594,0.003502875,0.002804984,0.002352585,0.000836376,0.0,0.002461947,0.002440336,0.002742259,0.0,0.0,4.846149558656769,10.954928417453871,1
olar,0.0,0.0,0.0,0.002922633,0.0,0.0,0.0,0.0,0.002824485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000924251,0.0,0.0,0.0,0.001082921,0.0,0.0,0.0,0.0,0.0,0.0,0.000996003,0.0,0.0,0.0,0.0,0.0,0.002270886,0.0,0.0,0.001406992,1.3469451497936886,-0.022541323580088618,0
chos,0.0,0.0,0.00418211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001645569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000870071,0.0,0.0,0.0,0.000933369,0.002270886,0.003742704,0.000897938,0.0,-0.03418464700645045,4.084193879804217,0
cthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001850228,0.00186557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002249877,0.0,0.0,0.0,1.177753319493893,0.4543643986266045,0
qokaiin,0.0,0.0,0.0,0.0,0.001688361,0.001846385,0.0,0.0,0.000466189,0.0,0.000668122,0.002182336,0.0,0.0,0.0,0.001306891,0.003975323,0.00106603,0.000839642,0.001983155,0.000268685,0.00308237,0.002693538,0.000893696,0.000254977,0.001599366,0.001365451,0.001720919,0.001154465,0.001952168,0.000986358,0.001866901,0.003047286,0.000471023,0.000956164,0.000770276,0.002123959,0.00154436,0.000444622,0.000232228,12.93828844407284,7.5599796421780985,1
chal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000670357,0.001093889,0.001584481,0.0,0.0,0.0,0.00112447,0.0,0.000867129,0.0,0.0,0.000393734,0.0,0.0,0.002147346,0.0,0.0,0.0,0.001663453,0.001478451,0.001778499,0.0,0.002091515,0.0,0.0,0.001943787,7.054047487150155,3.428484744235666,1
pcheody,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001026694,0.0,0.0,0.001149425,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.20361244922535318,1.0422908333760925,0
chotar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002298851,0.0,0.0,0.0,0.0,0.002,0.001236094,0.00118624,0.0,-0.16048582877965906,3.432934436734751,0
lpchedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001658375,0.0,0.0,0.000753012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002372479,0.0,0.45471431170658677,2.058400150122156,0
ykeeol,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002120891,0.000942507,0.0,0.0,0.002,0.0,0.0,0.0,0.4270709456479719,2.3631726818545418,0
lkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000625791,0.001531747,0.0,0.0,0.0,0.000595991,0.0,0.0,0.0,0.0,0.0,0.001470231,0.0,0.0,0.001503439,0.001089546,0.0,0.000561054,0.002588105,0.000460053,0.00083013,0.0,0.001952467,0.0,0.001158047,0.00090728,4.814890226647577,5.714290431035759,1
chor,0.0,0.0,0.001786223,0.001248287,0.002184503,0.0,0.0,0.001056557,0.0,0.0,0.0,0.0,0.0,0.00070284,0.0,0.000338187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001979427,0.000486907,0.0,0.000890651,0.000331937,0.000360833,0.000425403,0.000743233,0.000342849,0.000304719,0.0,0.000398652,0.001939838,0.000399637,0.001534075,0.0,0.7719405661021114,3.3950081067359252,0
por,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001157808,0.0,0.0,0.0,0.001213831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000927197,0.0,0.001188276,0.0,0.0,0.0,0.0,0.0,0.00180618,0.0,0.0,0.0,1.7200477299370835,0.5984369057471585,0
chokain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000680038,0.0,0.0,0.0,0.001007913,0.0,0.0,0.0,0.0,0.000767934,0.002227102,0.00180618,0.0,0.0,0.0,0.46575328205181205,3.3933759116444344,0
chockhy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010380345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001007913,0.0,0.0,0.0,0.0,0.0,0.0,0.00180618,0.001116304,0.002142562,0.0,-0.4572415192214318,3.1234847043146785,0
olkam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003943624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001102674,0.0,0.0,0.0,0.0,0.0,0.002040113,0.0,0.0,0.000927197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00180618,0.0,0.0,0.0,1.1022388896515425,2.141268329277745,0
lkeeody,0.0,0.0,0.0,0.0,0.0,0.0,0.005440301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000927197,0.0,0.0,0.0,0.0,0.0,0.000767934,0.001113551,0.00180618,0.0,0.0,0.0,0.5930023152904551,1.2307187494325624,0
ro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000944655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000927197,0.0,0.0,0.001038034,0.0,0.0,0.0,0.0,0.00180618,0.0,0.001071281,0.0,0.8204415232069204,1.7902580889928894,0
pcheol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001368318,0.0,0.0,0.001102674,0.0,0.002970691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001038034,0.0,0.0,0.0,0.0,0.00180618,0.0,0.0,0.0,2.6415549251278314,0.6035377452579817,0
rair,0.0,0.004321005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001963239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000851169,0.0,0.001113551,0.00180618,0.0,0.0,0.0,0.05836975789725161,1.3234602047897466,0
otain,0.0,0.0,0.0,0.000856559,0.0,0.001092851,0.0,0.000724996,0.0,0.0,0.0,0.0,0.0,0.0,0.000853264,0.000696178,0.0,0.000757163,0.00238547,0.000812633,0.000954188,0.001459531,0.0,0.0,0.0,0.001002329,0.001212288,0.003055768,0.001822166,0.000742797,0.0,0.000254999,0.000941034,0.000418188,0.002829703,0.000820649,0.00177479,0.000822678,0.000263166,0.001649433,9.438745913678952,4.592567861087099,1
qokchedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001392055,0.0,0.0,0.0,0.0,0.0,0.000926019,0.0,0.0,0.000645407,0.0,0.0,0.0,0.000916062,0.0,0.002119247,0.000609397,0.0,0.00032076,0.002327698,0.0,0.0,0.002377058,0.0,0.001468858,0.000451717,0.000401479,0.0,0.0,0.001703875,0.003159224,0.004042408,0.0,3.010754622154698,6.8346526495398265,1
oteeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000919541,0.00108409,0.0,0.0,0.0,0.000700603,0.0,0.001647817,0.002036857,0.000977353,0.0,-0.16190893066649353,3.540612231049311,0
qotody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002692512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001681446,0.0,0.0,0.0,0.0,0.000919541,0.0,0.0,0.0,0.0,0.0,0.0,0.001647817,0.001018429,0.0,0.001531429,0.12025102433638861,1.9179973789035591,0
tshedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248347,0.0,0.0,0.002011987,0.0,0.0,0.0,0.0,0.0,0.0,0.004502234,0.0,0.0,0.0,0.0,0.0,0.00087371,0.0,0.0,0.0,0.001647817,0.0,0.000977353,0.0,1.9721074916809218,1.5613718110080879,0
al,0.0,0.000927369,0.000535414,0.00037417,0.000327399,0.0,0.000583795,0.0,0.0,0.000901488,0.0,0.001269563,0.001113908,0.000210674,0.0,0.001013703,0.000293667,0.000165375,0.000130255,0.000473309,0.000416817,0.0,0.000160713,0.000277282,0.000395551,0.00065677,0.0,0.00026697,9.95e-05,0.000432634,0.001657671,0.001670862,0.001644284,0.001644091,0.001565723,0.001672923,0.00164747,0.000718739,0.001034626,0.001080781,4.893640132221304,7.069318626277445,1
cheaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
akchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chcheey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chcfhor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
akal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
aloiiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
alchl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chakain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chaiiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chdo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
alog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
aroshy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
alkeeol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chcthal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
araral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
arald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
aithchr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
airol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chckhody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chopchey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chokam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
cheodoiidaiin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chokair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
choltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
chfchol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
cheyor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160206,0.0,0.0,0.0,-0.7976570461989286,0.46904154083515504,0
