voynich_b,naibbe,inferno,alice,plaintext
psheoky,dain,nel,chapter,tc
odaiir,lchedy,mezzo,i,et
qoy,olkal,del,down,le
ofseod,lear,cammin,the,o
chypchey,qokeeedy,di,rabbit,pe
ypchedy,olseeedy,nostra,hole,o
ain,cheey,vitami,alice,e
chofochcphdy,oleedaiin,ritrovai,was,ae
dchey,chey,per,beginning,n
aiin,yteedar,una,to,mc
adeeody,otar,selva,get,da
ykecthhy,kal,oscura,very,mt
chedy,chckhey,ch,tired,eb
ytedy,shedy,e,of,ir
dy,opcheeedy,la,sitting,ae
checthedy,solam,diritta,by,o
lr,oteedy,via,her,t
oaiin,alsdy,era,sister,l
shcthy,yky,smarrita,on,i
eteeda,ol,ahi,the,eo
oloy,sain,quanto,bank,ae
ykeedy,shedy,a,and,i
olchedy,oteedy,dir,of,ae
gal,shey,qual,having,n
y,qoks,era,nothing,tt
sheey,lkchsy,e,to,ai
saiin,ol,cosa,do,i
s,ke,duraesta,once,lt
qokedy,oldaiin,selva,or,n
cheos,poiin,selvaggia,twice,le
ytedy,olchar,e,she,r
qokedy,oles,aspra,had,i
ytedy,qokey,e,peeped,te
chekedy,shor,forteche,into,i
daiin,qoteey,nel,the,ti
odam,tsheeol,pensier,book,i
s,olkeedy,rinova,her,e
aldy,chdy,la,sister,au
haiin,lcheedam,paura,was,o
shedy,chedy,tant,reading,mp
eedy,qokal,e,but,n
eedy,chdy,amara,it,i
schy,chor,che,had,r
daiin,saldam,poco,no,im
cthedy,kedaiin,e,pictures,a
qokeedy,qoked,pi,or,i
qokedy,dykm,f,conversations,b
cthhy,chol,morte,in,i
rchedy,ar,ma,it,ru
qokedy,qopair,per,what,h
pcho,chcthody,trattar,is,c
qokedy,qol,del,the,e
dar,tdam,ben,use,n
sheo,ychy,ch,of,n
ypchseds,ol,i,a,r
s,yteaiin,vi,book,o
aiin,koiiin,trovai,thought,ao
shapchedyfeey,opaiin,dir,alice,ei
dalchedy,daiin,f,pictures,l
sas,otaiin,de,or,tp
daiin,am,l,conversations,df
shedy,cheol,altre,so,ma
qokeedy,cheedy,cose,she,i
qoteedar,otedy,ch,was,le
s,toiiin,i,considering,li
ok,okain,v,in,rt
ol,lses,ho,her,ai
otedy,chedy,scorte,own,vc
qokchdy,taly,io,mind,i
qokedy,qoeeey,non,as,i
tcheo,aiin,so,well,c
shy,qokeey,ben,as,o
geedy,aleeos,ridir,she,i
okedy,olkain,com,could,a
chckhy,otchaiin,i,for,tu
s,okedal,v,the,hr
dy,odeol,intrai,hot,e
dy,qokeey,tant,day,te
ykeechy,lshes,era,made,us
okeedy,qokey,pien,her,e
cheky,ol,di,feel,eu
shese,qokeey,sonno,very,pi
aiin,okes,a,sleepy,i
sheos,dykair,quel,and,ui
cheody,shar,puntoche,stupid,ts
otal,shar,la,whether,e
pchedar,qokedy,verace,the,ae
qodary,ol,via,pleasure,b
oiiin,ar,abbandonai,of,i
pcheety,ytar,ma,making,mu
sair,qoky,poi,a,ii
shedy,oteedy,ch,daisy,ev
ypchedy,shol,i,chain,a
ypchdy,qotsheeedy,fui,would,sa
qopy,otchees,al,be,eu
shdy,chedy,pi,worth,mu
saraiir,lcheedal,e,the,r
chekedy,ar,d,trouble,tm
qokedy,daiin,un,of,i
otedy,dar,colle,getting,i
sar,otal,giunto,up,ne
y,qokshear,l,and,pt
etedy,dal,e,picking,er
qokedy,chctheor,dove,the,e
or,okeedy,terminava,daisies,ii
aree,tdy,quella,when,i
alys,osor,valleche,suddenly,e
chedy,dykaiin,m,a,e
pchdar,saiin,avea,white,ll
opar,ytedar,di,rabbit,a
dar,qol,paura,with,e
cheeol,otain,il,pink,c
ofchdy,qopcheol,cor,eyes,si
otedy,qokair,compunto,ran,te
ckhdy,daiin,guardai,close,e
odar,qokdar,in,by,et
chedy,sheedar,alto,her,ma
ytedy,lseedy,e,there,et
okchdy,shesy,vidi,was,tc
g,oiinedy,le,nothing,ie
yckheody,qoror,sue,so,t
qokedy,yor,spallevestite,very,ro
deey,chedy,gi,in,ed
saldy,qoky,e,that,ed
okedor,olshee,de,nor,cg
or,qokar,raggi,did,nu
eeeos,al,del,alice,ii
oraiin,ysham,pianetache,think,l
okeo,ar,mena,it,ed
chekaiin,okar,dritto,so,tl
deeol,olche,altrui,very,st
eeeody,lsheedy,per,out,ru
qoteedy,qokaiin,ogne,of,ce
qokody,qoteedy,calle,the,at
qotedy,shedaiin,allor,way,o
qotedy,qoked,fu,to,pu
opchedy,qopeeos,la,hear,n
ofchy,qoeesy,paura,the,r
chs,qokchdy,un,rabbit,tt
ar,chal,poco,say,o
toeedy,chey,queta,to,fe
keody,shy,che,itself,s
shedy,qotsy,nel,dear,c
dar,ychees,lago,oh,n
chedy,qokeedy,del,dear,s
sches,lkchaiis,cor,i,oa
or,ytdy,m,shall,l
cheeky,daleor,era,be,md
dar,oteedy,duratala,late,m
chey,aiin,notte,when,et
cheky,oedy,ch,she,e
ytchdy,saiin,i,thought,e
pchedy,olchedol,passai,it,d
dar,sheey,con,over,iu
cheoet,qokeedy,tanta,afterwards,en
chy,qoail,pieta,it,v
sair,reed,e,occurred,n
chees,chckhy,come,to,ti
odaiiin,sar,quei,her,i
chkeeey,okchedy,che,that,i
ykey,ykedor,con,she,e
sheey,shy,lena,ought,o
teeedy,rar,affannata,to,n
okeeos,tshedam,uscito,have,im
cheeos,tam,fuor,wondered,l
ysaiin,dar,del,at,r
okcheey,ychor,pelago,this,i
keody,dal,a,but,ir
saiin,aiin,la,at,e
cheeos,olyeeo,riva,the,mi
qokes,ltl,si,time,i
ory,dar,volge,it,i
ysheey,kcheedy,a,all,a
okeshy,shey,l,seemed,en
shodypshey,oeor,acqua,quite,ti
todydy,olkeedy,perigliosa,natural,a
keedey,lcheeedy,e,but,mc
qofchedy,shctheody,guata,when,as
shees,qokey,cos,the,me
aiin,shey,ec,rabbit,ea
qokeefcy,okchedaiin,l,actually,re
chepakeo,tchdal,animo,took,c
dcheey,qotedaiin,mio,a,c
daiin,lsd,ch,watch,i
okeedy,qokaiin,ancor,out,r
qokees,ar,fuggiva,of,e
s,qopchaiin,si,its,ia
aiin,ofchdy,volse,waistcoat,g
shckhey,dshal,a,pocket,n
qef,cheedy,retro,and,c
qokeey,kar,a,looked,mu
chey,am,rimirar,at,nt
daiin,dal,lo,it,iu
qokeey,opchaim,passoche,and,t
rair,or,non,then,iu
chekey,ofeo,lasci,hurried,ea
saiin,chedy,f,on,il
da,qotal,gi,alice,c
qotar,qoksheey,e,started,t
chy,dain,mai,to,et
dar,pchor,persona,her,e
lk,lchey,viva,feet,ii
r,oiinol,poi,for,c
ar,qotal,ch,it,ie
cheey,chckhsdy,e,flashed,mq
keeol,chs,i,across,mc
chd,sheeey,posato,her,a
qokey,chedy,un,mind,e
daiin,otey,poco,that,n
sheoody,ychaiin,il,she,r
qokeor,ol,corpo,had,rl
tshokeody,olkchdy,lasso,never,r
qokedy,dorair,ripresi,before,eo
qotedy,okcheeody,via,seen,ui
chepar,reees,per,a,u
chedy,ol,la,rabbit,i
r,kody,piaggia,with,r
aiin,chol,diserta,either,ts
dal,dcheos,s,a,s
ykeedar,salesy,ec,waistcoat,ar
saiin,qoctheody,che,pocket,ss
checkhey,shckheey,l,or,be
sheol,shey,pi,a,ed
qokedy,cheol,e,watch,ei
ykeedy,qokal,fermo,to,s
chedy,qoksheor,sempre,take,nm
ldy,chedy,era,out,n
